日期,CPI:当月同比,CPI:环比,CPI:不包括食品和能源(核心CPI):当月同比,CPI:不包括食品和能源(核心CPI):环比,CPI:累计同比,CPI:不包括食品和能源(核心CPI):累计同比
2009-03,-1.20 ,-0.30 ,,,-0.60 ,
2009-04,-1.50 ,-0.20 ,,,-0.80 ,
2009-05,-1.40 ,-0.30 ,,,-0.90 ,
2009-06,-1.70 ,-0.50 ,,,-1.10 ,
2009-07,-1.80 ,0.00 ,,,-1.20 ,
2009-08,-1.20 ,0.50 ,,,-1.20 ,
2009-09,-0.80 ,0.40 ,,,-1.10 ,
2009-10,-0.50 ,-0.10 ,,,-1.10 ,
2009-11,0.60 ,0.30 ,,,-0.90 ,
2009-12,1.90 ,1.00 ,,,-0.70 ,
2010-01,1.50 ,0.60 ,,,1.50 ,
2010-02,2.70 ,1.20 ,,,2.10 ,
2010-03,2.40 ,-0.70 ,,,2.20 ,
2010-04,2.80 ,0.20 ,,,2.40 ,
2010-05,3.10 ,-0.10 ,,,2.50 ,
2010-06,2.90 ,-0.60 ,,,2.60 ,
2010-07,3.30 ,0.40 ,,,2.70 ,
2010-08,3.50 ,0.60 ,,,2.80 ,
2010-09,3.60 ,0.60 ,,,2.90 ,
2010-10,4.40 ,0.70 ,,,3.00 ,
2010-11,5.10 ,1.10 ,,,3.20 ,
2010-12,4.60 ,0.50 ,,,3.30 ,
2011-01,4.90 ,1.00 ,,,4.90 ,
2011-02,4.94 ,1.24 ,,,4.90 ,
2011-03,5.38 ,-0.21 ,,,5.00 ,
2011-04,5.34 ,0.14 ,,,5.10 ,
2011-05,5.52 ,0.07 ,,,5.20 ,
2011-06,6.36 ,0.28 ,,,5.40 ,
2011-07,6.45 ,0.46 ,,,5.50 ,
2011-08,6.15 ,0.31 ,,,5.60 ,
2011-09,6.07 ,0.47 ,,,5.70 ,
2011-10,5.50 ,0.09 ,,,5.60 ,
2011-11,4.23 ,-0.19 ,,,5.50 ,
2011-12,4.07 ,0.31 ,,,5.40 ,
2012-01,4.50 ,1.50 ,,,4.50 ,
2012-02,3.20 ,-0.10 ,,,3.90 ,
2012-03,3.60 ,0.20 ,,,3.80 ,
2012-04,3.40 ,-0.10 ,,,3.70 ,
2012-05,3.00 ,-0.30 ,,,3.50 ,
2012-06,2.20 ,-0.60 ,,,3.30 ,
2012-07,1.80 ,0.10 ,,,3.10 ,
2012-08,2.00 ,0.60 ,,,2.90 ,
2012-09,1.90 ,0.30 ,,,2.80 ,
2012-10,1.70 ,-0.10 ,,,2.70 ,
