日期,PMI:生产,PMI:新订单,PMI:新出口订单,PMI:在手订单,PMI:产成品库存,PMI:采购量,PMI:进口,PMI,PMI:出厂价格,PMI:主要原材料购进价格,PMI:原材料库存,PMI:大型企业,PMI:中型企业,PMI:小型企业
2009-03,56.90 ,54.60 ,47.50 ,48.80 ,46.70 ,54.00 ,48.80 ,52.40 ,,48.30 ,47.50 ,,,
2009-04,57.40 ,56.60 ,49.10 ,48.90 ,44.80 ,56.20 ,50.00 ,53.50 ,,51.30 ,46.90 ,,,
2009-05,56.90 ,56.20 ,50.10 ,48.80 ,46.20 ,55.80 ,49.40 ,53.10 ,,53.10 ,46.10 ,,,
2009-06,57.10 ,55.50 ,51.40 ,46.70 ,45.00 ,55.60 ,49.90 ,53.20 ,,57.80 ,47.40 ,,,
2009-07,57.30 ,55.50 ,52.10 ,47.20 ,45.60 ,55.70 ,48.90 ,53.30 ,,59.90 ,48.10 ,,,
2009-08,57.90 ,56.30 ,52.10 ,48.90 ,46.50 ,58.10 ,51.30 ,54.00 ,,62.60 ,48.80 ,,,
2009-09,58.00 ,56.80 ,53.30 ,48.50 ,46.00 ,58.40 ,50.70 ,54.30 ,,57.50 ,47.90 ,,,
2009-10,59.30 ,58.50 ,54.50 ,50.00 ,43.40 ,59.00 ,52.80 ,55.20 ,,56.90 ,49.00 ,,,
2009-11,59.40 ,58.40 ,53.60 ,50.90 ,45.40 ,58.20 ,52.20 ,55.20 ,,63.40 ,51.40 ,,,
2009-12,61.40 ,61.00 ,52.60 ,52.40 ,47.10 ,61.00 ,52.50 ,56.60 ,,66.70 ,51.40 ,,,
2010-01,60.50 ,59.90 ,53.20 ,49.90 ,47.30 ,60.50 ,53.40 ,55.80 ,,68.50 ,52.20 ,,,
2010-02,54.30 ,53.70 ,50.30 ,47.10 ,47.30 ,51.90 ,49.10 ,52.00 ,,61.10 ,48.10 ,,,
2010-03,58.40 ,58.10 ,54.50 ,52.00 ,48.30 ,58.10 ,53.70 ,55.10 ,,65.10 ,50.60 ,,,
2010-04,59.10 ,59.30 ,54.50 ,53.40 ,46.20 ,60.10 ,53.10 ,55.70 ,,72.60 ,51.50 ,,,
2010-05,58.20 ,54.80 ,53.80 ,49.70 ,49.80 ,56.00 ,50.90 ,53.90 ,,58.90 ,51.00 ,,,
2010-06,55.80 ,52.10 ,51.70 ,47.40 ,51.30 ,53.50 ,50.40 ,52.10 ,,51.30 ,49.40 ,,,
2010-07,52.70 ,50.90 ,51.20 ,46.80 ,49.90 ,52.20 ,49.30 ,51.20 ,,50.40 ,47.80 ,,,
2010-08,53.10 ,53.10 ,52.20 ,48.20 ,46.90 ,51.90 ,48.40 ,51.70 ,,60.50 ,47.30 ,,,
2010-09,56.40 ,56.30 ,52.70 ,50.90 ,45.00 ,56.20 ,52.90 ,53.80 ,,65.30 ,49.10 ,,,
2010-10,57.10 ,58.20 ,52.60 ,50.20 ,45.70 ,58.30 ,52.80 ,54.70 ,,69.90 ,49.50 ,,,
2010-11,58.50 ,58.30 ,53.20 ,50.50 ,47.70 ,57.40 ,50.60 ,55.20 ,,73.50 ,49.70 ,,,
2010-12,57.50 ,55.40 ,53.50 ,50.70 ,48.70 ,56.80 ,50.40 ,53.90 ,,66.70 ,50.80 ,,,
2011-01,55.30 ,54.90 ,50.70 ,46.50 ,47.90 ,57.70 ,53.00 ,52.90 ,,69.30 ,52.00 ,,,
2011-02,53.80 ,54.30 ,50.90 ,46.60 ,46.40 ,54.50 ,53.90 ,52.20 ,,70.10 ,49.50 ,,,
2011-03,55.70 ,55.20 ,52.50 ,51.40 ,51.30 ,54.10 ,52.00 ,53.40 ,,68.30 ,51.60 ,,,
2011-04,55.30 ,53.80 ,51.30 ,50.70 ,50.80 ,53.80 ,50.60 ,52.90 ,,66.20 ,52.00 ,,,
2011-05,54.90 ,52.10 ,51.10 ,47.70 ,50.00 ,53.60 ,50.50 ,52.00 ,,60.30 ,49.50 ,,,
2011-06,53.10 ,50.80 ,50.50 ,45.90 ,51.00 ,51.50 ,48.70 ,50.90 ,,56.70 ,48.50 ,,,
2011-07,52.10 ,51.10 ,50.40 ,46.50 ,49.20 ,52.00 ,49.10 ,50.70 ,,56.30 ,47.60 ,,,
2011-08,52.30 ,51.10 ,48.30 ,47.60 ,48.90 ,51.20 ,49.70 ,50.90 ,,57.20 ,48.80 ,,,
2011-09,52.70 ,51.30 ,50.90 ,48.90 ,49.90 ,51.50 ,50.10 ,51.20 ,,56.60 ,49.00 ,,,
2011-10,52.30 ,50.50 ,48.60 ,46.00 ,50.30 ,50.70 ,47.00 ,50.40 ,,46.20 ,48.50 ,,,
2011-11,50.90 ,47.80 ,45.60 ,45.20 ,53.10 ,49.80 ,47.30 ,49.00 ,,44.40 ,46.70 ,,,
2011-12,53.40 ,49.80 ,48.60 ,46.60 ,50.60 ,50.90 ,49.10 ,50.30 ,,47.10 ,48.30 ,51.10 ,49.30 ,48.70 
2012-01,53.60 ,50.40 ,46.90 ,43.20 ,48.00 ,50.20 ,46.90 ,50.50 ,,50.00 ,49.70 ,,,
2012-02,53.80 ,51.00 ,51.10 ,49.40 ,50.50 ,53.60 ,50.80 ,51.00 ,,54.00 ,48.80 ,50.90 ,49.50 ,55.20 
2012-03,55.20 ,55.10 ,51.90 ,50.50 ,50.80 ,54.80 ,51.50 ,53.10 ,,55.90 ,49.50 ,54.30 ,50.40 ,50.90 
2012-04,57.20 ,54.50 ,52.20 ,48.40 ,49.50 ,54.40 ,50.50 ,53.30 ,,54.80 ,48.50 ,53.80 ,53.40 ,49.10 
2012-05,52.90 ,49.80 ,50.40 ,43.60 ,52.20 ,50.80 ,48.10 ,50.40 ,,44.80 ,45.10 ,51.10 ,50.80 ,45.20 
2012-06,52.00 ,49.20 ,47.50 ,43.30 ,52.30 ,46.90 ,46.50 ,50.20 ,,41.20 ,48.20 ,50.60 ,50.00 ,47.20 
2012-07,51.80 ,49.00 ,46.60 ,41.90 ,48.00 ,46.80 ,45.00 ,50.10 ,,41.00 ,48.50 ,50.30 ,50.20 ,48.10 
2012-08,50.90 ,48.70 ,46.60 ,45.10 ,48.20 ,48.80 ,47.00 ,49.20 ,,46.10 ,45.10 ,49.10 ,49.90 ,47.70 
2012-09,51.30 ,49.80 ,48.80 ,46.50 ,47.90 ,49.80 ,47.70 ,49.80 ,,51.00 ,47.00 ,50.20 ,49.80 ,46.70 
2012-10,52.10 ,50.40 ,49.30 ,43.80 ,48.10 ,51.20 ,48.40 ,50.20 ,,54.30 ,47.30 ,50.90 ,49.30 ,47.20 
2012-11,52.50 ,51.20 ,50.20 ,45.30 ,48.80 ,51.40 ,48.50 ,50.60 ,,50.10 ,47.90 ,51.40 ,49.70 ,46.10 
2012-12,52.00 ,51.20 ,50.00 ,45.90 ,49.40 ,52.10 ,49.00 ,50.60 ,,53.30 ,47.30 ,51.10 ,49.90 ,48.10 
2013-01,51.30 ,51.60 ,48.50 ,44.40 ,47.40 ,53.20 ,49.10 ,50.40 ,,57.20 ,50.10 ,51.30 ,49.70 ,46.20 
2013-02,51.20 ,50.10 ,47.30 ,44.40 ,46.60 ,50.20 ,48.10 ,50.10 ,,55.50 ,49.50 ,51.30 ,48.80 ,46.00 
2013-03,52.70 ,52.30 ,50.90 ,47.10 ,50.20 ,51.90 ,48.90 ,50.90 ,,50.60 ,47.50 ,51.40 ,50.30 ,49.30 
2013-04,52.60 ,51.70 ,48.60 ,43.60 ,47.70 ,51.00 ,48.70 ,50.60 ,,40.10 ,47.50 ,51.00 ,50.70 ,47.60 
2013-05,53.30 ,51.80 ,49.40 ,44.90 ,48.60 ,51.50 ,50.30 ,50.80 ,,45.10 ,47.60 ,51.10 ,51.40 ,47.30 
2013-06,52.00 ,50.40 ,47.70 ,42.90 ,48.20 ,49.50 ,47.90 ,50.10 ,,44.60 ,47.40 ,50.40 ,49.80 ,48.90 
2013-07,52.40 ,50.60 ,49.00 ,44.70 ,47.30 ,50.00 ,48.40 ,50.30 ,,50.10 ,47.60 ,50.80 ,49.60 ,49.40 
2013-08,52.60 ,52.40 ,50.20 ,44.80 ,47.60 ,52.00 ,50.00 ,51.00 ,,53.20 ,48.00 ,51.80 ,49.60 ,49.20 
2013-09,52.90 ,52.80 ,50.70 ,46.20 ,47.40 ,52.50 ,50.40 ,51.10 ,,54.50 ,48.50 ,52.10 ,49.70 ,48.80 
2013-10,54.40 ,52.50 ,50.40 ,45.50 ,45.60 ,52.70 ,50.00 ,51.40 ,,53.30 ,48.60 ,52.30 ,50.20 ,48.50 
2013-11,54.50 ,52.30 ,50.60 ,45.30 ,47.90 ,53.60 ,50.50 ,51.40 ,,52.50 ,47.80 ,52.40 ,50.20 ,48.30 
2013-12,53.90 ,52.00 ,49.80 ,45.10 ,46.20 ,52.70 ,49.00 ,51.00 ,,52.60 ,47.60 ,52.00 ,49.90 ,47.70 
2014-01,53.00 ,50.90 ,49.30 ,45.70 ,46.50 ,51.00 ,48.20 ,50.50 ,,49.20 ,47.80 ,51.40 ,49.50 ,47.10 
2014-02,52.60 ,50.50 ,48.20 ,45.10 ,47.80 ,49.40 ,46.50 ,50.20 ,,47.70 ,47.40 ,50.70 ,49.40 ,48.90 
2014-03,52.70 ,50.60 ,50.10 ,44.80 ,48.30 ,50.30 ,49.10 ,50.30 ,,44.40 ,47.80 ,51.00 ,49.20 ,49.30 
2014-04,52.50 ,51.20 ,49.10 ,44.90 ,47.30 ,50.60 ,48.60 ,50.40 ,,48.30 ,48.10 ,50.80 ,50.30 ,48.80 
2014-05,52.80 ,52.30 ,49.30 ,46.00 ,47.10 ,52.30 ,49.00 ,50.80 ,,50.00 ,48.00 ,50.90 ,51.40 ,48.80 
2014-06,53.00 ,52.80 ,50.30 ,46.20 ,47.30 ,52.00 ,49.20 ,51.00 ,,50.10 ,48.00 ,51.50 ,51.10 ,48.40 
2014-07,54.20 ,53.60 ,50.80 ,46.40 ,47.60 ,53.00 ,49.30 ,51.70 ,,50.50 ,49.00 ,52.60 ,50.10 ,50.10 
2014-08,53.20 ,52.50 ,50.00 ,45.90 ,48.10 ,51.90 ,48.50 ,51.10 ,,49.30 ,48.60 ,51.90 ,49.90 ,49.10 
2014-09,53.60 ,52.20 ,50.20 ,45.60 ,47.20 ,51.20 ,48.00 ,51.10 ,,47.40 ,48.80 ,52.00 ,50.00 ,48.60 
2014-10,53.10 ,51.60 ,49.90 ,44.70 ,47.90 ,50.70 ,47.90 ,50.80 ,,45.10 ,48.40 ,51.90 ,49.10 ,48.50 
2014-11,52.50 ,50.90 ,48.40 ,43.90 ,47.20 ,50.50 ,47.30 ,50.30 ,,44.70 ,47.70 ,51.60 ,48.40 ,47.60 
2014-12,52.20 ,50.40 ,49.10 ,43.80 ,47.80 ,50.10 ,47.80 ,50.10 ,,43.20 ,47.50 ,51.40 ,48.70 ,45.50 
2015-01,51.70 ,50.20 ,48.40 ,44.00 ,48.00 ,49.60 ,46.40 ,49.80 ,,41.90 ,47.30 ,50.30 ,49.90 ,46.40 
2015-02,51.40 ,50.40 ,48.50 ,43.80 ,47.00 ,49.40 ,47.50 ,49.90 ,,43.90 ,48.20 ,50.40 ,49.40 ,48.10 
2015-03,52.10 ,50.20 ,48.30 ,44.10 ,48.60 ,49.70 ,48.10 ,50.10 ,,45.00 ,48.00 ,51.50 ,48.30 ,46.90 
2015-04,52.60 ,50.20 ,48.10 ,43.80 ,48.00 ,50.10 ,47.80 ,50.10 ,,47.80 ,48.20 ,50.60 ,49.80 ,48.40 
2015-05,52.90 ,50.60 ,48.90 ,44.70 ,47.50 ,51.00 ,47.60 ,50.20 ,,49.40 ,48.20 ,50.70 ,50.40 ,47.90 
2015-06,52.90 ,50.10 ,48.20 ,44.60 ,47.70 ,50.90 ,48.00 ,50.20 ,,47.30 ,48.70 ,50.80 ,50.20 ,47.50 
2015-07,52.40 ,49.90 ,47.90 ,44.00 ,47.40 ,50.30 ,47.80 ,50.00 ,,44.70 ,48.40 ,50.60 ,50.00 ,46.90 
2015-08,51.70 ,49.70 ,47.70 ,44.60 ,47.20 ,49.40 ,47.20 ,49.70 ,,44.90 ,48.30 ,49.90 ,49.80 ,48.10 
2015-09,52.30 ,50.20 ,47.90 ,43.80 ,46.80 ,48.60 ,48.10 ,49.80 ,,45.80 ,47.50 ,51.10 ,48.50 ,46.80 
2015-10,52.20 ,50.30 ,47.40 ,44.40 ,47.20 ,48.80 ,47.50 ,49.80 ,,44.40 ,47.20 ,51.00 ,48.70 ,46.60 
2015-11,51.90 ,49.80 ,46.40 ,43.00 ,46.70 ,48.30 ,46.70 ,49.60 ,,41.10 ,47.10 ,51.20 ,48.30 ,44.80 
2015-12,52.20 ,50.20 ,47.50 ,43.60 ,46.10 ,50.30 ,47.60 ,49.70 ,,42.40 ,47.60 ,50.90 ,49.60 ,44.90 
2016-01,51.40 ,49.50 ,46.90 ,43.40 ,44.60 ,49.00 ,46.40 ,49.40 ,44.00 ,45.10 ,46.80 ,50.30 ,49.00 ,46.10 
2016-02,50.20 ,48.60 ,47.40 ,43.90 ,46.40 ,47.90 ,45.80 ,49.00 ,47.30 ,50.20 ,48.00 ,49.90 ,49.00 ,44.40 
2016-03,52.30 ,51.40 ,50.20 ,45.70 ,46.00 ,52.60 ,50.10 ,50.20 ,50.90 ,55.30 ,48.20 ,51.50 ,49.10 ,48.10 
2016-04,52.20 ,51.00 ,50.10 ,44.80 ,45.50 ,51.00 ,49.50 ,50.10 ,51.70 ,57.60 ,47.40 ,51.00 ,50.00 ,46.90 
2016-05,52.30 ,50.70 ,50.00 ,45.10 ,46.80 ,51.20 ,49.60 ,50.10 ,49.70 ,55.30 ,47.60 ,50.30 ,50.50 ,48.60 
2016-06,52.50 ,50.50 ,49.60 ,45.00 ,46.50 ,50.50 ,49.10 ,50.00 ,47.00 ,51.30 ,47.00 ,51.00 ,49.10 ,47.40 
2016-07,52.10 ,50.40 ,49.00 ,45.50 ,46.80 ,50.50 ,49.30 ,49.90 ,50.00 ,54.60 ,47.30 ,51.20 ,48.90 ,46.90 
