日期,PPI:全部工业品:当月同比
2009-03,-6.00 
2009-04,-6.60 
2009-05,-7.20 
2009-06,-7.80 
2009-07,-8.20 
2009-08,-7.86 
2009-09,-6.99 
2009-10,-5.85 
2009-11,-2.08 
2009-12,1.70 
2010-01,4.32 
2010-02,5.39 
2010-03,5.91 
2010-04,6.81 
2010-05,7.13 
2010-06,6.41 
2010-07,4.84 
2010-08,4.32 
2010-09,4.33 
2010-10,5.04 
2010-11,6.06 
2010-12,5.93 
2011-01,6.60 
2011-02,7.23 
2011-03,7.31 
2011-04,6.82 
2011-05,6.79 
2011-06,7.12 
2011-07,7.54 
2011-08,7.25 
2011-09,6.52 
2011-10,5.00 
2011-11,2.72 
2011-12,1.69 
2012-01,0.73 
2012-02,0.03 
2012-03,-0.32 
2012-04,-0.70 
2012-05,-1.40 
2012-06,-2.08 
2012-07,-2.87 
2012-08,-3.48 
2012-09,-3.55 
2012-10,-2.76 
2012-11,-2.20 
2012-12,-1.94 
2013-01,-1.64 
2013-02,-1.63 
2013-03,-1.92 
2013-04,-2.62 
2013-05,-2.87 
2013-06,-2.70 
2013-07,-2.27 
2013-08,-1.62 
2013-09,-1.34 
2013-10,-1.51 
2013-11,-1.42 
2013-12,-1.36 
2014-01,-1.64 
2014-02,-2.00 
2014-03,-2.30 
2014-04,-2.00 
2014-05,-1.45 
2014-06,-1.11 
2014-07,-0.87 
2014-08,-1.20 
2014-09,-1.80 
2014-10,-2.24 
2014-11,-2.69 
2014-12,-3.32 
2015-01,-4.32 
2015-02,-4.80 
2015-03,-4.56 
2015-04,-4.57 
2015-05,-4.61 
2015-06,-4.81 
2015-07,-5.37 
2015-08,-5.92 
2015-09,-5.95 
2015-10,-5.90 
2015-11,-5.90 
2015-12,-5.90 
2016-01,-5.30 
2016-02,-4.90 
2016-03,-4.30 
2016-04,-3.40 
2016-05,-2.80 
2016-06,-2.60 
2016-07,-1.70 
2016-08,-0.80 
2016-09,0.10 
2016-10,1.20 
2016-11,3.30 
2016-12,5.50 
2017-01,6.90 
2017-02,7.80 
2017-03,7.60 
2017-04,6.40 
2017-05,5.50 
2017-06,5.50 
2017-07,5.50 
2017-08,6.30 
2017-09,6.90 
2017-10,6.90 
2017-11,5.80 
2017-12,4.90 
2018-01,4.30 
2018-02,3.70 
2018-03,3.10 
2018-04,3.40 
2018-05,4.10 
2018-06,4.70 
2018-07,4.60 
2018-08,4.10 
2018-09,3.60 
2018-10,3.30 
2018-11,2.70 
2018-12,0.90 
2019-01,0.10 
2019-02,0.10 
2019-03,0.40 
2019-04,0.90 
2019-05,0.60 
2019-06,0.00 
2019-07,-0.30 
2019-08,-0.80 
2019-09,-1.20 
2019-10,-1.60 
2019-11,-1.40 
2019-12,-0.50 
2020-01,0.10 
2020-02,-0.40 
2020-03,-1.50 
2020-04,-3.10 
2020-05,-3.70 
2020-06,-3.00 
2020-07,-2.40 
2020-08,-2.00 
2020-09,-2.10 
2020-10,-2.10 
2020-11,-1.50 
2020-12,-0.40 
2021-01,0.30 
2021-02,1.70 
2021-03,4.40 
2021-04,6.80 
,
,
