日期,SHIBOR:3个月
2009-03-27,1.2293 
2009-03-30,1.2275 
2009-03-31,1.2241 
2009-04-01,1.2232 
2009-04-02,1.2228 
2009-04-03,1.2214 
2009-04-07,1.2191 
2009-04-08,1.2177 
2009-04-09,1.2153 
2009-04-10,1.2144 
2009-04-13,1.2133 
2009-04-14,1.2129 
2009-04-15,1.2121 
2009-04-16,1.2113 
2009-04-17,1.2110 
2009-04-20,1.2101 
2009-04-21,1.2115 
2009-04-22,1.2133 
2009-04-23,1.2130 
2009-04-24,1.2137 
2009-04-27,1.2140 
2009-04-28,1.2133 
2009-04-29,1.2141 
2009-04-30,1.2144 
2009-05-04,1.2152 
2009-05-05,1.2153 
2009-05-06,1.2141 
2009-05-07,1.2128 
2009-05-08,1.2117 
2009-05-11,1.2107 
2009-05-12,1.2096 
2009-05-13,1.2086 
2009-05-14,1.2068 
2009-05-15,1.2044 
2009-05-18,1.2044 
2009-05-19,1.2055 
2009-05-20,1.2062 
2009-05-21,1.2059 
2009-05-22,1.2065 
2009-05-25,1.2151 
2009-05-26,1.2181 
2009-05-27,1.2217 
2009-05-31,1.2226 
2009-06-01,1.2248 
2009-06-02,1.2250 
2009-06-03,1.2249 
2009-06-04,1.2258 
2009-06-05,1.2274 
2009-06-08,1.2269 
2009-06-09,1.2243 
2009-06-10,1.2261 
2009-06-11,1.2272 
2009-06-12,1.2303 
2009-06-15,1.2323 
2009-06-16,1.2341 
2009-06-17,1.2345 
2009-06-18,1.2371 
2009-06-19,1.2580 
2009-06-22,1.2748 
2009-06-23,1.2825 
2009-06-24,1.2908 
2009-06-25,1.2925 
2009-06-26,1.2978 
2009-06-29,1.3068 
2009-06-30,1.3179 
2009-07-01,1.3215 
2009-07-02,1.3230 
2009-07-03,1.3263 
2009-07-06,1.3298 
2009-07-07,1.3361 
2009-07-08,1.3428 
2009-07-09,1.3681 
2009-07-10,1.3836 
2009-07-13,1.4037 
2009-07-14,1.4112 
2009-07-15,1.4245 
2009-07-16,1.4429 
2009-07-17,1.4757 
2009-07-20,1.5107 
2009-07-21,1.5667 
2009-07-22,1.5898 
2009-07-23,1.6051 
2009-07-24,1.6137 
2009-07-27,1.6269 
2009-07-28,1.6414 
2009-07-29,1.6523 
2009-07-30,1.6630 
2009-07-31,1.6713 
2009-08-03,1.6815 
2009-08-04,1.6894 
2009-08-05,1.6950 
2009-08-06,1.7054 
2009-08-07,1.7135 
2009-08-10,1.7206 
2009-08-11,1.7279 
2009-08-12,1.7285 
2009-08-13,1.7319 
2009-08-14,1.7336 
2009-08-17,1.7371 
2009-08-18,1.7391 
2009-08-19,1.7391 
2009-08-20,1.7366 
2009-08-21,1.7335 
2009-08-24,1.7324 
2009-08-25,1.7316 
2009-08-26,1.7334 
2009-08-27,1.7333 
2009-08-28,1.7327 
2009-08-31,1.7334 
2009-09-01,1.7358 
2009-09-02,1.7385 
2009-09-03,1.7404 
2009-09-04,1.7420 
2009-09-07,1.7433 
2009-09-08,1.7439 
2009-09-09,1.7441 
2009-09-10,1.7450 
2009-09-11,1.7449 
2009-09-14,1.7458 
2009-09-15,1.7483 
2009-09-16,1.7501 
2009-09-17,1.7523 
2009-09-18,1.7539 
2009-09-21,1.7560 
2009-09-22,1.7574 
2009-09-23,1.7597 
2009-09-24,1.7616 
2009-09-25,1.7635 
2009-09-27,1.7639 
2009-09-28,1.7639 
2009-09-29,1.7657 
2009-09-30,1.7687 
2009-10-09,1.7703 
2009-10-10,1.7712 
2009-10-12,1.7716 
2009-10-13,1.7725 
2009-10-14,1.7729 
2009-10-15,1.7743 
2009-10-16,1.7762 
2009-10-19,1.7794 
2009-10-20,1.7812 
2009-10-21,1.7818 
2009-10-22,1.7812 
2009-10-23,1.7821 
2009-10-26,1.7840 
2009-10-27,1.7861 
2009-10-28,1.7883 
2009-10-29,1.7884 
2009-10-30,1.7894 
2009-11-02,1.7911 
2009-11-03,1.7920 
2009-11-04,1.7927 
2009-11-05,1.7933 
2009-11-06,1.7940 
2009-11-09,1.7955 
2009-11-10,1.7971 
2009-11-11,1.7968 
2009-11-12,1.7967 
2009-11-13,1.7957 
2009-11-16,1.7977 
2009-11-17,1.7980 
2009-11-18,1.7985 
2009-11-19,1.8007 
2009-11-20,1.8021 
2009-11-23,1.8036 
2009-11-24,1.8040 
2009-11-25,1.8044 
2009-11-26,1.8031 
2009-11-27,1.8047 
2009-11-30,1.8064 
2009-12-01,1.8082 
2009-12-02,1.8085 
2009-12-03,1.8092 
2009-12-04,1.8102 
2009-12-07,1.8102 
2009-12-08,1.8114 
2009-12-09,1.8120 
2009-12-10,1.8137 
2009-12-11,1.8152 
2009-12-14,1.8157 
2009-12-15,1.8171 
2009-12-16,1.8183 
2009-12-17,1.8189 
2009-12-18,1.8193 
2009-12-21,1.8194 
2009-12-22,1.8215 
2009-12-23,1.8264 
2009-12-24,1.8292 
2009-12-25,1.8284 
2009-12-28,1.8305 
2009-12-29,1.8318 
2009-12-30,1.8324 
2009-12-31,1.8319 
2010-01-04,1.8312 
2010-01-05,1.8298 
2010-01-06,1.8288 
2010-01-07,1.8321 
2010-01-08,1.8369 
2010-01-11,1.8403 
2010-01-12,1.8439 
2010-01-13,1.8522 
2010-01-14,1.8584 
2010-01-15,1.8649 
2010-01-18,1.8674 
2010-01-19,1.8723 
2010-01-20,1.8750 
2010-01-21,1.8819 
2010-01-22,1.8866 
2010-01-25,1.8890 
2010-01-26,1.8930 
2010-01-27,1.8963 
2010-01-28,1.9017 
2010-01-29,1.9048 
2010-02-01,1.9074 
2010-02-02,1.9074 
2010-02-03,1.9081 
2010-02-04,1.9061 
2010-02-05,1.9051 
2010-02-08,1.9055 
2010-02-09,1.9128 
2010-02-10,1.9203 
2010-02-11,1.9305 
2010-02-12,1.9280 
2010-02-20,1.9327 
2010-02-21,1.9375 
2010-02-22,1.9365 
2010-02-23,1.9351 
2010-02-24,1.9394 
2010-02-25,1.9421 
2010-02-26,1.9443 
2010-03-01,1.9436 
2010-03-02,1.9467 
2010-03-03,1.9455 
2010-03-04,1.9465 
2010-03-05,1.9461 
2010-03-08,1.9433 
2010-03-09,1.9453 
2010-03-10,1.9436 
2010-03-11,1.9419 
2010-03-12,1.9416 
2010-03-15,1.9407 
2010-03-16,1.9405 
2010-03-17,1.9406 
2010-03-18,1.9430 
2010-03-19,1.9420 
2010-03-22,1.9410 
2010-03-23,1.9413 
2010-03-24,1.9415 
2010-03-25,1.9408 
2010-03-26,1.9405 
2010-03-29,1.9430 
2010-03-30,1.9408 
2010-03-31,1.9419 
2010-04-01,1.9394 
2010-04-02,1.9378 
2010-04-06,1.9395 
2010-04-07,1.9409 
2010-04-08,1.9401 
2010-04-09,1.9388 
2010-04-12,1.9392 
2010-04-13,1.9396 
2010-04-14,1.9392 
2010-04-15,1.9400 
2010-04-16,1.9418 
2010-04-19,1.9413 
2010-04-20,1.9412 
2010-04-21,1.9420 
