日期,Mysteel全国建材钢厂螺纹钢开工率(周),Mysteel唐山钢厂高炉开工率(周)
2012/6/15,,92
2012/6/22,,92
2012/6/29,,95
2012/7/6,,96
2012/7/13,,96.47
2012/7/20,,96.5
2012/7/27,,90.34
2012/8/3,,86.2
2012/8/10,,84.1
2012/8/17,,86.9
2012/8/24,,86.9
2012/8/31,,86.9
2012/9/7,,86.2
2012/9/14,,87.6
2012/9/21,,84.14
2012/9/28,,84.14
2012/10/12,,88.28
2012/10/19,,89.66
2012/10/26,,89.66
2012/11/2,,91.78
2012/11/9,,91.09
2012/11/16,,93.15
2012/11/23,,95.23
2012/11/30,,95.27
2012/12/7,,95.27
2012/12/14,,95.27
2012/12/21,,95.95
2012/12/28,,96.62
2013/1/11,,97.31
2013/1/18,,97.98
2013/1/25,,97.98
2013/2/1,,98.65
2013/2/8,,97.98
2013/2/22,,96.67
2013/3/1,,94.7
2013/3/8,,92.72
2013/3/15,,94.7
2013/3/22,,94.07
2013/3/29,,91.61
2013/4/5,,92.9
2013/4/12,,91.61
2013/4/19,,96.77
2013/4/26,,96.77
2013/5/3,,97.42
2013/5/10,,96.15
2013/5/17,,94.87
2013/5/24,,92.95
2013/5/31,,92.95
2013/6/7,,91.03
2013/6/14,,91.03
2013/6/21,,91.03
2013/6/28,,91.03
2013/7/5,,91.67
2013/7/12,,90.38
2013/7/19,,90.38
2013/7/26,,91.67
2013/8/2,,91.67
2013/8/9,,91.03
2013/8/16,,91.03
2013/8/23,,89.74
2013/8/30,,89.74
2013/9/6,,89.1
2013/9/13,,89.1
2013/9/20,,90.26
2013/9/27,,88.96
2013/10/11,,87.66
2013/10/18,,91.56
2013/10/25,,89.61
2013/11/1,,89.61
2013/11/8,,91.56
2013/11/15,,91.56
2013/11/22,,90.26
2013/11/29,,90.26
2013/12/6,,90.26
2013/12/13,,88.31
2013/12/20,,88.31
2013/12/27,,88.31
2014/1/3,,88.96
2014/1/10,,88.96
2014/1/17,,90.26
2014/1/24,,88.31
2014/2/7,,85.71
2014/2/14,,88.96
2014/2/21,,88.96
2014/2/28,,87.01
2014/3/7,,84.42
2014/3/14,,84.42
2014/3/21,,83.77
2014/3/28,,83.77
2014/4/4,,82.47
2014/4/11,,85.06
2014/4/18,,86.36
2014/4/25,,85.71
2014/5/2,,87.01
2014/5/9,,85.06
2014/5/16,,86.36
2014/5/23,,87.01
2014/5/30,,86.36
2014/6/6,,88.31
2014/6/13,,88.96
2014/6/20,,90.26
2014/6/27,,91.56
2014/7/4,,92.86
2014/7/11,,92.86
2014/7/18,,93.51
2014/7/25,,94.16
2014/8/1,,93.51
2014/8/8,,92.21
2014/8/15,,93.51
2014/8/22,,93.51
2014/8/29,,92.86
2014/9/5,,93.51
2014/9/12,,94.16
2014/9/19,,92.21
2014/9/26,,90.91
2014/10/10,,90.91
2014/10/17,,89.61
2014/10/24,,87.66
2014/10/31,,89.61
2014/11/7,,90.26
2014/11/14,,48.7
2014/11/21,,90.91
2014/11/28,,91.56
2014/12/5,,92.21
2014/12/12,,94.81
2014/12/19,,96.1
2014/12/26,,96.1
2015/1/2,,94.81
2015/1/9,,94.16
2015/1/16,,94.16
2015/1/23,,88.96
2015/1/30,,86.36
2015/2/6,,87.01
2015/2/13,,87.01
2015/2/27,64.8,87.01
2015/3/6,66.9,89.61
2015/3/13,70.5,87.66
2015/3/20,74,86.36
2015/3/27,76,87.66
2015/4/3,77.8,89.61
2015/4/10,77.8,90.91
2015/4/17,79.38,90.91
2015/4/24,79.38,92.21
2015/5/1,81,91.56
2015/5/8,82.63,92.21
2015/5/15,82.31,93.51
2015/5/22,81,94.16
2015/5/29,81.01,94.16
2015/6/5,83.28,94.16
2015/6/12,82.3,95.45
2015/6/19,81.13,95.45
2015/6/26,78.9,92.86
2015/7/3,76.97,90.26
2015/7/10,78.06,88.31
2015/7/17,75.81,86.36
2015/7/24,78.06,84.24
2015/7/31,80,83.54
2015/8/7,82.3,83.54
2015/8/14,81.4,86.59
2015/8/21,81.48,86.59
2015/8/28,82.6,82.93
2015/9/4,82.3,69.51
2015/9/11,81.3,85.37
