日期,螺纹钢:美国:市场价,螺纹钢:欧盟:市场价,螺纹钢:日本:市场价,螺纹钢:独联体:市场价,螺纹钢:土耳其:市场价
2007/5/11,708.00 ,763.00 ,559.00 ,595.00 ,625.00 
2007/5/18,708.00 ,763.00 ,555.00 ,595.00 ,595.00 
2007/5/25,708.00 ,763.00 ,555.00 ,550.00 ,605.00 
2007/6/1,708.00 ,763.00 ,555.00 ,545.00 ,605.00 
2007/6/8,708.00 ,743.00 ,555.00 ,545.00 ,607.00 
2007/6/15,708.00 ,743.00 ,555.00 ,545.00 ,607.00 
2007/6/22,708.00 ,743.00 ,555.00 ,545.00 ,607.00 
2007/6/29,708.00 ,742.50 ,555.00 ,545.00 ,602.50 
2007/7/6,704.00 ,680.00 ,555.00 ,545.00 ,580.00 
2007/7/13,704.00 ,680.00 ,553.00 ,545.00 ,575.00 
2007/7/20,704.00 ,680.00 ,553.00 ,545.00 ,565.00 
2007/7/27,704.00 ,680.00 ,553.00 ,535.00 ,557.00 
2007/8/3,696.00 ,680.00 ,554.00 ,550.00 ,557.00 
2007/8/10,696.00 ,680.00 ,576.00 ,550.00 ,557.00 
2007/8/17,641.00 ,666.00 ,576.00 ,550.00 ,557.00 
2007/8/24,641.00 ,666.00 ,585.00 ,550.00 ,557.00 
2007/8/31,641.00 ,666.00 ,585.00 ,570.00 ,557.00 
2007/9/7,641.00 ,606.00 ,619.00 ,570.00 ,557.00 
2007/9/14,641.00 ,606.00 ,650.00 ,570.00 ,557.00 
2007/9/21,641.00 ,606.00 ,650.00 ,570.00 ,557.00 
2007/9/28,641.00 ,606.00 ,650.00 ,555.00 ,568.00 
2007/10/5,641.00 ,623.00 ,650.00 ,555.00 ,568.00 
2007/10/12,641.00 ,623.00 ,650.00 ,555.00 ,560.00 
2007/10/19,641.00 ,623.00 ,650.00 ,555.00 ,560.00 
2007/10/26,641.00 ,623.00 ,650.00 ,555.00 ,560.00 
2007/11/2,641.00 ,623.00 ,650.00 ,535.00 ,558.00 
2007/11/9,628.00 ,615.00 ,650.00 ,535.00 ,560.00 
2007/11/16,628.00 ,615.00 ,668.00 ,535.00 ,560.00 
2007/11/23,628.00 ,615.00 ,668.00 ,565.00 ,560.00 
2007/11/30,628.00 ,590.00 ,668.00 ,565.00 ,560.00 
2007/12/7,628.00 ,619.00 ,668.00 ,565.00 ,560.00 
2007/12/14,628.00 ,623.00 ,668.00 ,575.00 ,643.00 
2007/12/21,656.00 ,623.00 ,668.00 ,575.00 ,665.00 
2007/12/28,656.00 ,623.00 ,668.00 ,575.00 ,665.00 
2008/1/3,656.00 ,672.00 ,668.00 ,585.00 ,705.00 
2008/1/10,656.00 ,672.00 ,668.00 ,585.00 ,725.00 
2008/1/18,724.00 ,680.00 ,674.00 ,690.00 ,740.00 
2008/1/25,724.00 ,680.00 ,674.00 ,690.00 ,755.00 
2008/2/1,794.00 ,690.00 ,681.00 ,690.00 ,755.00 
2008/2/8,724.00 ,785.00 ,681.00 ,690.00 ,745.00 
2008/2/15,724.00 ,785.00 ,687.00 ,740.00 ,745.00 
2008/2/22,724.00 ,785.00 ,687.00 ,740.00 ,745.00 
2008/2/29,724.00 ,785.00 ,748.00 ,740.00 ,755.00 
2008/3/7,724.00 ,807.00 ,748.00 ,755.00 ,805.00 
2008/3/14,724.00 ,807.00 ,794.00 ,755.00 ,840.00 
2008/3/21,740.00 ,850.00 ,794.00 ,925.00 ,925.00 
2008/3/28,740.00 ,850.00 ,813.00 ,925.00 ,965.00 
2008/4/2,740.00 ,926.00 ,935.00 ,925.00 ,985.00 
2008/4/9,768.00 ,926.00 ,951.00 ,925.00 ,980.00 
2008/4/16,934.00 ,926.00 ,951.00 ,925.00 ,985.00 
2008/4/23,934.00 ,926.00 ,941.00 ,925.00 ,985.00 
2008/5/2,934.00 ,1120.00 ,952.00 ,1083.00 ,1150.00 
2008/5/9,934.00 ,1120.00 ,952.00 ,995.00 ,1145.00 
2008/5/16,934.00 ,1120.00 ,952.00 ,1083.00 ,1150.00 
2008/5/23,934.00 ,1120.00 ,952.00 ,1155.00 ,1190.00 
2008/5/30,978.00 ,1120.00 ,952.00 ,1210.00 ,1265.00 
2008/6/6,978.00 ,1120.00 ,1029.00 ,1210.00 ,1297.00 
2008/6/13,978.00 ,1275.00 ,1029.00 ,1255.00 ,1297.00 
2008/6/20,1014.00 ,1275.00 ,1029.00 ,1255.00 ,1397.00 
2008/6/27,1014.00 ,1275.00 ,1029.00 ,1270.00 ,1448.00 
2008/7/4,1014.00 ,1275.00 ,1057.00 ,1220.00 ,1435.00 
2008/7/11,1014.00 ,1360.00 ,1032.00 ,1220.00 ,1450.00 
2008/7/18,1014.00 ,1360.00 ,1032.00 ,1220.00 ,1475.00 
2008/7/25,1167.00 ,1360.00 ,1041.00 ,1220.00 ,1475.00 
2008/7/30,1167.00 ,1360.00 ,1043.00 ,1190.00 ,1350.00 
2008/8/7,1167.00 ,1260.00 ,1060.00 ,1190.00 ,1350.00 
2008/8/15,1167.00 ,1260.00 ,1060.00 ,1190.00 ,1350.00 
2008/8/22,1167.00 ,1260.00 ,1060.00 ,1190.00 ,1150.00 
2008/8/29,1142.00 ,1260.00 ,1060.00 ,1190.00 ,1020.00 
2008/9/5,1130.00 ,1160.00 ,1060.00 ,920.00 ,1020.00 
2008/9/11,1130.00 ,1160.00 ,1060.00 ,920.00 ,940.00 
2008/9/19,1054.00 ,1160.00 ,1060.00 ,890.00 ,855.00 
2008/9/26,1054.00 ,1160.00 ,1060.00 ,745.00 ,755.00 
2008/10/3,1054.00 ,740.00 ,1060.00 ,580.00 ,650.00 
2008/10/10,1054.00 ,740.00 ,1063.00 ,580.00 ,650.00 
2008/10/17,911.00 ,740.00 ,1108.00 ,580.00 ,650.00 
2008/10/24,911.00 ,740.00 ,1108.00 ,530.00 ,600.00 
2008/10/31,860.00 ,740.00 ,1108.00 ,510.00 ,475.00 
2008/11/7,860.00 ,540.00 ,1125.00 ,435.00 ,425.00 
2008/11/14,662.00 ,540.00 ,1090.00 ,435.00 ,460.00 
2008/11/21,662.00 ,540.00 ,1060.00 ,435.00 ,460.00 
2008/11/28,662.00 ,540.00 ,1033.00 ,410.00 ,465.00 
2008/12/5,662.00 ,540.00 ,1033.00 ,430.00 ,465.00 
2008/12/12,662.00 ,560.00 ,1023.00 ,430.00 ,455.00 
2008/12/19,662.00 ,560.00 ,1023.00 ,430.00 ,455.00 
2008/12/26,662.00 ,560.00 ,912.00 ,430.00 ,455.00 
2009/1/4,662.00 ,610.00 ,912.00 ,430.00 ,455.00 
2009/1/9,662.00 ,610.00 ,912.00 ,430.00 ,485.00 
2009/1/15,662.00 ,610.00 ,912.00 ,480.00 ,485.00 
2009/1/22,662.00 ,610.00 ,861.00 ,465.00 ,490.00 
2009/2/2,662.00 ,610.00 ,949.00 ,465.00 ,495.00 
2009/2/6,662.00 ,610.00 ,949.00 ,465.00 ,495.00 
2009/2/13,662.00 ,540.00 ,930.00 ,445.00 ,475.00 
2009/2/20,662.00 ,540.00 ,908.00 ,445.00 ,465.00 
2009/2/27,662.00 ,540.00 ,908.00 ,430.00 ,455.00 
2009/3/9,662.00 ,530.00 ,908.00 ,420.00 ,420.00 
2009/3/13,662.00 ,530.00 ,741.00 ,420.00 ,420.00 
2009/3/20,463.00 ,530.00 ,741.00 ,400.00 ,400.00 
2009/3/26,551.00 ,530.00 ,741.00 ,400.00 ,390.00 
2009/4/2,551.00 ,530.00 ,720.00 ,375.00 ,425.00 
2009/4/9,551.00 ,448.00 ,706.00 ,375.00 ,445.00 
2009/4/17,540.00 ,448.00 ,706.00 ,390.00 ,455.00 
2009/4/24,540.00 ,448.00 ,706.00 ,390.00 ,475.00 
2009/4/29,540.00 ,448.00 ,647.00 ,405.00 ,495.00 
2009/5/7,540.00 ,448.00 ,658.00 ,425.00 ,485.00 
2009/5/13,518.00 ,448.00 ,658.00 ,425.00 ,485.00 
2009/5/21,518.00 ,475.00 ,658.00 ,435.00 ,475.00 
2009/5/27,518.00 ,475.00 ,658.00 ,435.00 ,455.00 
2009/6/4,518.00 ,475.00 ,665.00 ,435.00 ,435.00 
2009/6/12,518.00 ,475.00 ,665.00 ,435.00 ,435.00 
2009/6/18,551.00 ,480.00 ,665.00 ,405.00 ,455.00 
2009/6/25,551.00 ,480.00 ,665.00 ,405.00 ,465.00 
2009/7/2,560.00 ,480.00 ,634.00 ,435.00 ,475.00 
2009/7/10,560.00 ,459.00 ,639.00 ,445.00 ,475.00 
2009/7/16,560.00 ,459.00 ,639.00 ,445.00 ,465.00 
2009/7/23,560.00 ,459.00 ,639.00 ,425.00 ,455.00 
2009/7/30,560.00 ,459.00 ,639.00 ,425.00 ,455.00 
2009/8/6,560.00 ,462.00 ,639.00 ,445.00 ,485.00 
2009/8/13,604.00 ,462.00 ,639.00 ,445.00 ,495.00 
2009/8/21,604.00 ,462.00 ,639.00 ,455.00 ,505.00 
2009/8/27,604.00 ,462.00 ,639.00 ,455.00 ,505.00 
2009/9/3,604.00 ,497.00 ,639.00 ,475.00 ,505.00 
2009/9/11,604.00 ,497.00 ,655.00 ,475.00 ,505.00 
2009/9/17,604.00 ,497.00 ,655.00 ,475.00 ,490.00 
2009/9/25,604.00 ,497.00 ,655.00 ,475.00 ,485.00 
2009/10/9,604.00 ,551.00 ,683.00 ,475.00 ,485.00 
2009/10/16,604.00 ,551.00 ,683.00 ,470.00 ,485.00 
2009/10/21,571.00 ,551.00 ,683.00 ,450.00 ,475.00 
2009/10/30,571.00 ,551.00 ,683.00 ,450.00 ,455.00 
2009/11/6,571.00 ,495.00 ,653.00 ,435.00 ,455.00 
2009/11/13,571.00 ,495.00 ,653.00 ,445.00 ,455.00 
2009/11/20,513.00 ,495.00 ,642.00 ,445.00 ,455.00 
2009/11/27,513.00 ,495.00 ,642.00 ,445.00 ,465.00 
2009/12/4,513.00 ,495.00 ,631.00 ,440.00 ,465.00 
2009/12/10,513.00 ,514.00 ,624.00 ,440.00 ,465.00 
2009/12/17,513.00 ,514.00 ,624.00 ,440.00 ,465.00 
2009/12/24,513.00 ,514.00 ,601.00 ,440.00 ,485.00 
2009/12/30,513.00 ,514.00 ,601.00 ,440.00 ,485.00 
2010/1/8,513.00 ,550.00 ,601.00 ,440.00 ,485.00 
2010/1/15,579.00 ,550.00 ,585.00 ,440.00 ,505.00 
2010/1/22,579.00 ,550.00 ,585.00 ,455.00 ,525.00 
2010/1/27,579.00 ,550.00 ,585.00 ,465.00 ,525.00 
2010/2/5,579.00 ,550.00 ,585.00 ,485.00 ,525.00 
2010/2/10,579.00 ,539.00 ,605.00 ,485.00 ,525.00 
2010/2/20,579.00 ,539.00 ,605.00 ,485.00 ,525.00 
2010/2/25,573.00 ,539.00 ,605.00 ,485.00 ,505.00 
2010/3/5,601.00 ,539.00 ,605.00 ,485.00 ,515.00 
2010/3/12,601.00 ,547.00 ,608.00 ,495.00 ,515.00 
2010/3/19,639.00 ,547.00 ,652.00 ,525.00 ,525.00 
2010/3/25,639.00 ,588.00 ,675.00 ,540.00 ,585.00 
2010/4/1,639.00 ,588.00 ,686.00 ,580.00 ,585.00 
2010/4/9,673.00 ,645.00 ,660.00 ,620.00 ,685.00 
2010/4/16,673.00 ,710.00 ,670.00 ,620.00 ,696.00 
2010/4/23,684.00 ,710.00 ,670.00 ,690.00 ,695.00 
2010/4/29,684.00 ,725.00 ,702.00 ,705.00 ,655.00 
2010/5/7,684.00 ,725.00 ,702.00 ,705.00 ,655.00 
2010/5/14,684.00 ,698.00 ,713.00 ,655.00 ,620.00 
2010/5/21,684.00 ,698.00 ,724.00 ,635.00 ,605.00 
2010/5/28,684.00 ,685.00 ,724.00 ,605.00 ,575.00 
2010/6/4,684.00 ,607.00 ,724.00 ,535.00 ,555.00 
2010/6/11,684.00 ,607.00 ,733.00 ,535.00 ,555.00 
2010/6/18,673.00 ,607.00 ,733.00 ,535.00 ,525.00 
2010/6/25,673.00 ,607.00 ,733.00 ,535.00 ,525.00 
2010/7/1,673.00 ,607.00 ,733.00 ,500.00 ,525.00 
2010/7/9,673.00 ,583.00 ,740.00 ,505.00 ,525.00 
2010/7/16,650.00 ,583.00 ,729.00 ,505.00 ,535.00 
2010/7/23,650.00 ,583.00 ,717.00 ,505.00 ,545.00 
2010/7/30,650.00 ,583.00 ,717.00 ,505.00 ,545.00 
2010/8/5,650.00 ,583.00 ,694.00 ,505.00 ,545.00 
2010/8/13,650.00 ,583.00 ,713.00 ,515.00 ,585.00 
2010/8/19,650.00 ,651.00 ,713.00 ,565.00 ,595.00 
2010/8/26,650.00 ,651.00 ,713.00 ,575.00 ,595.00 
2010/9/2,650.00 ,651.00 ,713.00 ,575.00 ,595.00 
2010/9/10,678.00 ,646.00 ,730.00 ,575.00 ,605.00 
2010/9/17,678.00 ,646.00 ,730.00 ,595.00 ,605.00 
2010/9/21,678.00 ,646.00 ,730.00 ,595.00 ,605.00 
2010/9/29,678.00 ,646.00 ,730.00 ,595.00 ,595.00 
2010/10/9,700.00 ,646.00 ,730.00 ,595.00 ,575.00 
2010/10/14,700.00 ,646.00 ,744.00 ,595.00 ,575.00 
2010/10/22,700.00 ,649.00 ,744.00 ,565.00 ,575.00 
2010/10/28,700.00 ,649.00 ,744.00 ,565.00 ,575.00 
2010/11/5,700.00 ,649.00 ,757.00 ,565.00 ,595.00 
2010/11/11,700.00 ,636.00 ,757.00 ,565.00 ,600.00 
2010/11/19,700.00 ,636.00 ,757.00 ,575.00 ,600.00 
2010/11/26,700.00 ,678.00 ,707.00 ,575.00 ,600.00 
2010/12/3,700.00 ,678.00 ,707.00 ,585.00 ,615.00 
2010/12/9,700.00 ,655.00 ,690.00 ,585.00 ,625.00 
2010/12/17,722.00 ,655.00 ,690.00 ,585.00 ,625.00 
2010/12/24,744.00 ,682.00 ,726.00 ,585.00 ,645.00 
2010/12/30,744.00 ,682.00 ,726.00 ,585.00 ,645.00 
2011/1/6,744.00 ,682.00 ,726.00 ,585.00 ,645.00 
2011/1/13,788.00 ,730.00 ,758.00 ,625.00 ,685.00 
2011/1/20,788.00 ,730.00 ,770.00 ,675.00 ,720.00 
2011/1/27,788.00 ,730.00 ,794.00 ,675.00 ,705.00 
2011/2/11,865.00 ,723.00 ,800.00 ,695.00 ,705.00 
2011/2/18,865.00 ,723.00 ,800.00 ,685.00 ,660.00 
2011/2/25,865.00 ,710.00 ,800.00 ,665.00 ,665.00 
2011/3/4,865.00 ,710.00 ,800.00 ,665.00 ,665.00 
2011/3/11,854.00 ,783.00 ,800.00 ,665.00 ,665.00 
2011/3/18,854.00 ,783.00 ,800.00 ,665.00 ,675.00 
2011/3/25,854.00 ,783.00 ,800.00 ,665.00 ,675.00 
2011/3/31,854.00 ,783.00 ,800.00 ,665.00 ,675.00 
2011/4/7,854.00 ,772.00 ,778.00 ,665.00 ,675.00 
2011/4/15,810.00 ,772.00 ,790.00 ,665.00 ,650.00 
2011/4/22,810.00 ,743.00 ,790.00 ,665.00 ,655.00 
2011/4/29,810.00 ,743.00 ,790.00 ,665.00 ,670.00 
2011/5/6,810.00 ,743.00 ,790.00 ,665.00 ,670.00 
2011/5/13,810.00 ,761.00 ,830.00 ,685.00 ,715.00 
2011/5/20,799.00 ,790.00 ,830.00 ,685.00 ,700.00 
2011/5/26,799.00 ,790.00 ,830.00 ,685.00 ,700.00 
2011/6/3,783.00 ,780.00 ,830.00 ,705.00 ,705.00 
2011/6/10,783.00 ,813.00 ,835.00 ,705.00 ,735.00 
2011/6/17,783.00 ,813.00 ,835.00 ,705.00 ,745.00 
2011/6/24,821.00 ,813.00 ,797.00 ,705.00 ,735.00 
2011/7/1,821.00 ,813.00 ,797.00 ,705.00 ,720.00 
2011/7/8,821.00 ,787.00 ,778.00 ,705.00 ,717.00 
2011/7/15,821.00 ,787.00 ,778.00 ,705.00 ,735.00 
2011/7/21,821.00 ,773.00 ,778.00 ,715.00 ,735.00 
2011/7/29,821.00 ,773.00 ,778.00 ,715.00 ,735.00 
2011/8/4,821.00 ,801.00 ,778.00 ,715.00 ,735.00 
2011/8/12,821.00 ,783.00 ,815.00 ,715.00 ,735.00 
2011/8/19,821.00 ,783.00 ,815.00 ,715.00 ,710.00 
2011/8/25,821.00 ,783.00 ,815.00 ,705.00 ,725.00 
2011/9/1,821.00 ,783.00 ,815.00 ,705.00 ,725.00 
2011/9/8,821.00 ,780.00 ,817.00 ,725.00 ,725.00 
2011/9/16,821.00 ,725.00 ,817.00 ,725.00 ,730.00 
2011/9/21,821.00 ,725.00 ,817.00 ,720.00 ,730.00 
2011/9/29,843.00 ,725.00 ,817.00 ,720.00 ,730.00 
2011/10/7,843.00 ,725.00 ,821.00 ,720.00 ,730.00 
2011/10/13,843.00 ,689.00 ,821.00 ,680.00 ,715.00 
2011/10/21,843.00 ,689.00 ,821.00 ,660.00 ,680.00 
2011/10/28,843.00 ,689.00 ,821.00 ,650.00 ,665.00 
2011/11/4,838.00 ,706.00 ,806.00 ,650.00 ,655.00 
2011/11/11,838.00 ,720.00 ,782.00 ,645.00 ,635.00 
2011/11/17,827.00 ,720.00 ,782.00 ,635.00 ,635.00 
2011/11/25,827.00 ,720.00 ,782.00 ,635.00 ,635.00 
