日期,波罗的海干散货指数(BDI),铁矿石运价:西澳-青岛(BCI-C5),铁矿石运价:巴西图巴朗-青岛(BCI-C3)
1988-10-19,1317.00 ,,
1988-10-20,1316.00 ,,
1988-10-21,1328.00 ,,
1988-10-24,1361.00 ,,
1988-10-25,1363.00 ,,
1988-10-26,1364.00 ,,
1988-10-27,1369.00 ,,
1988-10-28,1371.00 ,,
1988-10-31,1373.00 ,,
1988-11-01,1378.00 ,,
1988-11-02,1390.00 ,,
1988-11-03,1396.00 ,,
1988-11-04,1398.00 ,,
1988-11-07,1410.00 ,,
1988-11-08,1415.00 ,,
1988-11-09,1420.00 ,,
1988-11-10,1424.00 ,,
1988-11-11,1434.00 ,,
1988-11-14,1444.00 ,,
1988-11-15,1454.00 ,,
1988-11-16,1473.00 ,,
1988-11-17,1482.00 ,,
1988-11-18,1492.00 ,,
1988-11-21,1495.00 ,,
1988-11-22,1503.00 ,,
1988-11-23,1517.00 ,,
1988-11-24,1517.00 ,,
1988-11-25,1512.00 ,,
1988-11-28,1511.00 ,,
1988-11-29,1510.00 ,,
1988-11-30,1501.00 ,,
1988-12-01,1501.00 ,,
1988-12-02,1490.00 ,,
1988-12-05,1488.00 ,,
1988-12-06,1487.00 ,,
1988-12-07,1485.00 ,,
1988-12-08,1486.00 ,,
1988-12-09,1494.00 ,,
1988-12-12,1514.00 ,,
1988-12-13,1518.00 ,,
1988-12-14,1522.00 ,,
1988-12-15,1524.00 ,,
1988-12-16,1518.00 ,,
1988-12-19,1517.00 ,,
1988-12-20,1518.00 ,,
1988-12-21,1523.00 ,,
1988-12-22,1523.00 ,,
1988-12-23,1527.00 ,,
1988-12-28,1529.00 ,,
1988-12-29,1540.00 ,,
1988-12-30,1543.00 ,,
1989-01-03,1544.00 ,,
1989-01-04,1553.00 ,,
1989-01-05,1555.00 ,,
1989-01-06,1578.00 ,,
1989-01-09,1589.00 ,,
1989-01-10,1604.00 ,,
1989-01-11,1620.00 ,,
1989-01-12,1629.00 ,,
1989-01-13,1635.00 ,,
1989-01-16,1642.00 ,,
1989-01-17,1643.00 ,,
1989-01-18,1650.00 ,,
1989-01-19,1648.00 ,,
1989-01-20,1644.00 ,,
1989-01-23,1646.00 ,,
1989-01-24,1645.00 ,,
1989-01-25,1634.00 ,,
1989-01-26,1633.00 ,,
1989-01-27,1617.00 ,,
1989-01-30,1619.00 ,,
1989-01-31,1619.00 ,,
1989-02-01,1608.00 ,,
1989-02-02,1607.00 ,,
1989-02-03,1584.00 ,,
1989-02-06,1553.00 ,,
1989-02-07,1542.00 ,,
1989-02-08,1533.00 ,,
1989-02-09,1526.00 ,,
1989-02-10,1523.00 ,,
1989-02-13,1511.00 ,,
1989-02-14,1506.00 ,,
1989-02-15,1503.00 ,,
1989-02-16,1499.00 ,,
1989-02-17,1495.00 ,,
1989-02-20,1502.00 ,,
1989-02-21,1506.00 ,,
1989-02-22,1512.00 ,,
1989-02-23,1513.00 ,,
1989-02-24,1529.00 ,,
1989-02-27,1543.00 ,,
1989-02-28,1553.00 ,,
1989-03-01,1563.00 ,,
1989-03-02,1577.00 ,,
1989-03-03,1588.00 ,,
1989-03-06,1593.00 ,,
1989-03-07,1597.00 ,,
1989-03-08,1608.00 ,,
1989-03-09,1615.00 ,,
1989-03-10,1623.00 ,,
1989-03-13,1624.00 ,,
1989-03-14,1632.00 ,,
1989-03-15,1640.00 ,,
1989-03-16,1647.00 ,,
1989-03-17,1645.00 ,,
1989-03-20,1644.00 ,,
1989-03-21,1644.00 ,,
1989-03-22,1640.00 ,,
1989-03-23,1638.00 ,,
1989-03-28,1632.00 ,,
1989-03-29,1631.00 ,,
1989-03-30,1624.00 ,,
1989-03-31,1631.00 ,,
1989-04-03,1619.00 ,,
1989-04-04,1614.00 ,,
1989-04-05,1621.00 ,,
1989-04-06,1620.00 ,,
1989-04-07,1622.00 ,,
1989-04-10,1623.00 ,,
1989-04-11,1621.00 ,,
1989-04-12,1622.00 ,,
1989-04-13,1619.00 ,,
1989-04-14,1626.00 ,,
1989-04-17,1627.00 ,,
1989-04-18,1621.00 ,,
1989-04-19,1617.00 ,,
1989-04-20,1620.00 ,,
1989-04-21,1617.00 ,,
1989-04-24,1619.00 ,,
1989-04-25,1621.00 ,,
1989-04-26,1622.00 ,,
1989-04-27,1624.00 ,,
1989-04-28,1629.00 ,,
1989-05-02,1641.00 ,,
1989-05-03,1649.00 ,,
1989-05-04,1687.00 ,,
1989-05-05,1693.00 ,,
1989-05-08,1699.00 ,,
1989-05-09,1704.00 ,,
1989-05-10,1715.00 ,,
1989-05-11,1727.00 ,,
1989-05-12,1748.00 ,,
1989-05-15,1749.00 ,,
1989-05-16,1751.00 ,,
1989-05-17,1744.00 ,,
1989-05-18,1748.00 ,,
1989-05-19,1744.00 ,,
1989-05-22,1730.00 ,,
1989-05-23,1722.00 ,,
1989-05-24,1712.00 ,,
1989-05-25,1682.00 ,,
1989-05-26,1667.00 ,,
1989-05-30,1626.00 ,,
1989-05-31,1596.00 ,,
1989-06-01,1587.00 ,,
1989-06-02,1484.00 ,,
1989-06-05,1450.00 ,,
1989-06-06,1445.00 ,,
1989-06-07,1425.00 ,,
1989-06-08,1412.00 ,,
1989-06-09,1406.00 ,,
1989-06-12,1400.00 ,,
1989-06-13,1390.00 ,,
1989-06-14,1390.00 ,,
1989-06-15,1396.00 ,,
1989-06-16,1397.00 ,,
1989-06-19,1396.00 ,,
1989-06-20,1396.00 ,,
1989-06-21,1400.00 ,,
1989-06-22,1407.00 ,,
1989-06-23,1399.00 ,,
1989-06-26,1399.00 ,,
1989-06-27,1391.00 ,,
1989-06-28,1393.00 ,,
1989-06-29,1410.00 ,,
1989-06-30,1413.00 ,,
1989-07-03,1414.00 ,,
1989-07-04,1413.00 ,,
1989-07-05,1401.00 ,,
1989-07-06,1398.00 ,,
1989-07-07,1392.00 ,,
1989-07-10,1391.00 ,,
1989-07-11,1390.00 ,,
1989-07-12,1400.00 ,,
1989-07-13,1401.00 ,,
1989-07-14,1392.00 ,,
1989-07-17,1385.00 ,,
1989-07-18,1380.00 ,,
1989-07-19,1377.00 ,,
1989-07-20,1376.00 ,,
1989-07-21,1376.00 ,,
1989-07-24,1379.00 ,,
1989-07-25,1379.00 ,,
1989-07-26,1388.00 ,,
1989-07-27,1388.00 ,,
1989-07-28,1389.00 ,,
1989-07-31,1393.00 ,,
1989-08-01,1392.00 ,,
1989-08-02,1390.00 ,,
1989-08-03,1390.00 ,,
1989-08-04,1387.00 ,,
1989-08-07,1379.00 ,,
1989-08-08,1381.00 ,,
1989-08-09,1383.00 ,,
1989-08-10,1394.00 ,,
1989-08-11,1401.00 ,,
1989-08-14,1405.00 ,,
1989-08-15,1409.00 ,,
1989-08-16,1417.00 ,,
1989-08-17,1421.00 ,,
1989-08-18,1421.00 ,,
1989-08-21,1421.00 ,,
1989-08-22,1423.00 ,,
1989-08-23,1427.00 ,,
1989-08-24,1427.00 ,,
1989-08-25,1426.00 ,,
1989-08-29,1425.00 ,,
1989-08-30,1425.00 ,,
1989-08-31,1426.00 ,,
1989-09-01,1426.00 ,,
1989-09-04,1428.00 ,,
1989-09-05,1429.00 ,,
1989-09-06,1433.00 ,,
1989-09-07,1436.00 ,,
1989-09-08,1437.00 ,,
1989-09-11,1441.00 ,,
1989-09-12,1440.00 ,,
1989-09-13,1437.00 ,,
1989-09-14,1434.00 ,,
1989-09-15,1433.00 ,,
1989-09-18,1434.00 ,,
1989-09-19,1439.00 ,,
1989-09-20,1435.00 ,,
1989-09-21,1425.00 ,,
1989-09-22,1425.00 ,,
1989-09-25,1424.00 ,,
1989-09-26,1420.00 ,,
1989-09-27,1413.00 ,,
1989-09-28,1421.00 ,,
1989-09-29,1420.00 ,,
1989-10-02,1424.00 ,,
1989-10-03,1436.00 ,,
1989-10-04,1451.00 ,,
1989-10-05,1459.00 ,,
1989-10-06,1469.00 ,,
1989-10-09,1470.00 ,,
1989-10-10,1476.00 ,,
1989-10-11,1479.00 ,,
1989-10-12,1486.00 ,,
1989-10-13,1494.00 ,,
1989-10-16,1509.00 ,,
1989-10-17,1516.00 ,,
1989-10-18,1545.00 ,,
1989-10-19,1554.00 ,,
1989-10-20,1593.00 ,,
1989-10-23,1599.00 ,,
1989-10-24,1612.00 ,,
1989-10-25,1624.00 ,,
1989-10-26,1627.00 ,,
1989-10-27,1636.00 ,,
1989-10-30,1641.00 ,,
1989-10-31,1647.00 ,,
1989-11-01,1647.00 ,,
1989-11-02,1651.00 ,,
1989-11-03,1653.00 ,,
1989-11-06,1654.00 ,,
1989-11-07,1654.00 ,,
1989-11-08,1657.00 ,,
1989-11-09,1654.00 ,,
1989-11-10,1656.00 ,,
1989-11-13,1650.00 ,,
1989-11-14,1648.00 ,,
1989-11-15,1648.00 ,,
1989-11-16,1648.00 ,,
1989-11-17,1652.00 ,,
1989-11-20,1656.00 ,,
1989-11-21,1670.00 ,,
1989-11-22,1668.00 ,,
1989-11-23,1670.00 ,,
1989-11-24,1672.00 ,,
1989-11-27,1673.00 ,,
1989-11-28,1671.00 ,,
1989-11-29,1666.00 ,,
1989-11-30,1653.00 ,,
1989-12-01,1640.00 ,,
1989-12-04,1629.00 ,,
1989-12-05,1610.00 ,,
1989-12-06,1606.00 ,,
1989-12-07,1605.00 ,,
1989-12-08,1605.00 ,,
1989-12-11,1603.00 ,,
1989-12-12,1604.00 ,,
1989-12-13,1603.00 ,,
1989-12-14,1602.00 ,,
1989-12-15,1603.00 ,,
1989-12-18,1603.00 ,,
1989-12-19,1596.00 ,,
1989-12-20,1592.00 ,,
1989-12-21,1590.00 ,,
1989-12-22,1586.00 ,,
1989-12-27,1585.00 ,,
1989-12-28,1584.00 ,,
1989-12-29,1592.00 ,,
1990-01-02,1599.00 ,,
1990-01-03,1602.00 ,,
1990-01-04,1609.00 ,,
1990-01-05,1619.00 ,,
1990-01-08,1637.00 ,,
1990-01-09,1644.00 ,,
1990-01-10,1652.00 ,,
1990-01-11,1655.00 ,,
1990-01-12,1658.00 ,,
1990-01-15,1660.00 ,,
1990-01-16,1663.00 ,,
1990-01-17,1663.00 ,,
1990-01-18,1664.00 ,,
1990-01-19,1669.00 ,,
1990-01-22,1668.00 ,,
1990-01-23,1663.00 ,,
1990-01-24,1653.00 ,,
1990-01-25,1646.00 ,,
1990-01-26,1651.00 ,,
1990-01-29,1648.00 ,,
1990-01-30,1644.00 ,,
1990-01-31,1644.00 ,,
1990-02-01,1642.00 ,,
1990-02-02,1638.00 ,,
1990-02-05,1619.00 ,,
1990-02-06,1606.00 ,,
1990-02-07,1588.00 ,,
1990-02-08,1583.00 ,,
1990-02-09,1583.00 ,,
1990-02-12,1579.00 ,,
1990-02-13,1579.00 ,,
1990-02-14,1578.00 ,,
1990-02-15,1576.00 ,,
1990-02-16,1576.00 ,,
1990-02-19,1576.00 ,,
1990-02-20,1592.00 ,,
1990-02-21,1591.00 ,,
1990-02-22,1591.00 ,,
1990-02-23,1591.00 ,,
1990-02-26,1593.00 ,,
1990-02-27,1603.00 ,,
1990-02-28,1604.00 ,,
1990-03-01,1603.00 ,,
1990-03-02,1606.00 ,,
1990-03-05,1610.00 ,,
1990-03-06,1614.00 ,,
1990-03-07,1618.00 ,,
1990-03-08,1622.00 ,,
1990-03-09,1629.00 ,,
1990-03-12,1628.00 ,,
1990-03-13,1628.00 ,,
1990-03-14,1627.00 ,,
1990-03-15,1620.00 ,,
1990-03-16,1606.00 ,,
1990-03-19,1594.00 ,,
1990-03-20,1590.00 ,,
1990-03-21,1570.00 ,,
1990-03-22,1569.00 ,,
1990-03-23,1557.00 ,,
1990-03-26,1550.00 ,,
1990-03-27,1546.00 ,,
1990-03-28,1539.00 ,,
1990-03-29,1532.00 ,,
1990-03-30,1529.00 ,,
1990-04-02,1528.00 ,,
1990-04-03,1513.00 ,,
1990-04-04,1499.00 ,,
1990-04-05,1483.00 ,,
1990-04-06,1466.00 ,,
1990-04-09,1462.00 ,,
1990-04-10,1462.00 ,,
1990-04-11,1459.00 ,,
1990-04-12,1456.00 ,,
1990-04-17,1447.00 ,,
1990-04-18,1444.00 ,,
1990-04-19,1436.00 ,,
1990-04-20,1418.00 ,,
1990-04-23,1414.00 ,,
1990-04-24,1402.00 ,,
1990-04-25,1390.00 ,,
1990-04-26,1379.00 ,,
1990-04-27,1373.00 ,,
1990-04-30,1361.00 ,,
1990-05-01,1355.00 ,,
1990-05-02,1352.00 ,,
1990-05-03,1345.00 ,,
1990-05-04,1340.00 ,,
1990-05-08,1330.00 ,,
1990-05-09,1321.00 ,,
1990-05-10,1317.00 ,,
1990-05-11,1313.00 ,,
1990-05-14,1305.00 ,,
1990-05-15,1305.00 ,,
1990-05-16,1305.00 ,,
1990-05-17,1309.00 ,,
1990-05-18,1311.00 ,,
1990-05-21,1315.00 ,,
1990-05-22,1316.00 ,,
1990-05-23,1317.00 ,,
1990-05-24,1317.00 ,,
1990-05-25,1313.00 ,,
1990-05-29,1304.00 ,,
1990-05-30,1303.00 ,,
1990-05-31,1299.00 ,,
1990-06-01,1301.00 ,,
1990-06-04,1302.00 ,,
1990-06-05,1305.00 ,,
1990-06-06,1302.00 ,,
1990-06-07,1297.00 ,,
1990-06-08,1278.00 ,,
1990-06-11,1264.00 ,,
1990-06-12,1254.00 ,,
1990-06-13,1243.00 ,,
1990-06-14,1232.00 ,,
1990-06-15,1219.00 ,,
1990-06-18,1197.00 ,,
1990-06-19,1181.00 ,,
1990-06-20,1169.00 ,,
1990-06-21,1159.00 ,,
1990-06-22,1152.00 ,,
1990-06-25,1148.00 ,,
1990-06-26,1144.00 ,,
1990-06-27,1128.00 ,,
1990-06-28,1110.00 ,,
1990-06-29,1089.00 ,,
1990-07-02,1082.00 ,,
1990-07-03,1075.00 ,,
1990-07-04,1073.00 ,,
1990-07-05,1065.00 ,,
1990-07-06,1067.00 ,,
1990-07-09,1068.00 ,,
1990-07-10,1069.00 ,,
1990-07-11,1056.00 ,,
1990-07-12,1064.00 ,,
1990-07-13,1078.00 ,,
1990-07-16,1080.00 ,,
1990-07-17,1086.00 ,,
1990-07-18,1091.00 ,,
1990-07-19,1095.00 ,,
1990-07-20,1129.00 ,,
1990-07-23,1138.00 ,,
1990-07-24,1141.00 ,,
1990-07-25,1142.00 ,,
1990-07-26,1150.00 ,,
1990-07-27,1157.00 ,,
1990-07-30,1161.00 ,,
1990-07-31,1165.00 ,,
1990-08-01,1175.00 ,,
1990-08-02,1185.00 ,,
1990-08-03,1180.00 ,,
1990-08-06,1182.00 ,,
1990-08-07,1188.00 ,,
1990-08-08,1206.00 ,,
1990-08-09,1220.00 ,,
1990-08-10,1232.00 ,,
1990-08-13,1237.00 ,,
1990-08-14,1237.00 ,,
1990-08-15,1236.00 ,,
1990-08-16,1228.00 ,,
1990-08-17,1226.00 ,,
1990-08-20,1222.00 ,,
1990-08-21,1222.00 ,,
1990-08-22,1220.00 ,,
1990-08-23,1221.00 ,,
1990-08-24,1220.00 ,,
1990-08-28,1215.00 ,,
1990-08-29,1210.00 ,,
1990-08-30,1210.00 ,,
1990-08-31,1208.00 ,,
1990-09-03,1203.00 ,,
1990-09-04,1193.00 ,,
1990-09-05,1192.00 ,,
1990-09-06,1194.00 ,,
1990-09-07,1193.00 ,,
1990-09-10,1191.00 ,,
1990-09-11,1191.00 ,,
1990-09-12,1191.00 ,,
1990-09-13,1191.00 ,,
1990-09-14,1197.00 ,,
1990-09-17,1200.00 ,,
1990-09-18,1197.00 ,,
1990-09-19,1195.00 ,,
1990-09-20,1188.00 ,,
1990-09-21,1182.00 ,,
1990-09-24,1179.00 ,,
1990-09-25,1175.00 ,,
1990-09-26,1170.00 ,,
