月份,china australia coal: (全球)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,90
2004-08,83
2004-09,0
2004-10,0
2004-11,0
2004-12,73
2005-01,0
2005-02,0
2005-03,56
2005-04,0
2005-05,0
2005-06,55
2005-07,0
2005-08,54
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,65
2006-10,29
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,22
2007-08,0
2007-09,0
2007-10,18
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,16
2008-04,16
2008-05,0
2008-06,0
2008-07,15
2008-08,31
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,25
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,11
2009-07,23
2009-08,0
2009-09,21
2009-10,10
2009-11,20
2009-12,20
2010-01,9
2010-02,29
2010-03,0
2010-04,0
2010-05,9
2010-06,9
2010-07,0
2010-08,25
2010-09,24
2010-10,0
2010-11,30
2010-12,7
2011-01,7
2011-02,7
2011-03,13
2011-04,0
2011-05,6
2011-06,13
2011-07,0
2011-08,13
2011-09,6
2011-10,6
2011-11,6
2011-12,11
2012-01,0
2012-02,6
2012-03,10
2012-04,0
2012-05,5
2012-06,0
2012-07,5
2012-08,5
2012-09,0
2012-10,5
2012-11,0
2012-12,9
2013-01,0
2013-02,0
2013-03,12
2013-04,0
2013-05,8
2013-06,4
2013-07,4
2013-08,16
2013-09,0
2013-10,8
2013-11,4
2013-12,4
2014-01,0
2014-02,0
2014-03,14
2014-04,7
2014-05,4
2014-06,4
2014-07,0
2014-08,16
2014-09,0
2014-10,18
2014-11,15
2014-12,0
2015-01,7
2015-02,4
2015-03,0
2015-04,4
2015-05,7
2015-06,7
2015-07,3
2015-08,10
2015-09,10
2015-10,9
2015-11,6
2015-12,3
2016-01,3
2016-02,0
2016-03,0
2016-04,10
2016-05,10
2016-06,3
2016-07,10
2016-08,4
2016-09,7
2016-10,3
2016-11,10
2016-12,3
2017-01,12
2017-02,3
2017-03,3
2017-04,3
2017-05,16
2017-06,7
2017-07,6
2017-08,0
2017-09,6
2017-10,12
2017-11,9
2017-12,0
2018-01,6
2018-02,0
2018-03,6
2018-04,6
2018-05,3
2018-06,3
2018-07,3
2018-08,0
2018-09,9
2018-10,3
2018-11,3
2018-12,0
2019-01,3
2019-02,54
2019-03,14
2019-04,17
2019-05,11
2019-06,9
2019-07,3
2019-08,11
2019-09,16
2019-10,8
2019-11,13
2019-12,11
2020-01,17
2020-02,10
2020-03,5
2020-04,5
2020-05,16
2020-06,9
2020-07,12
2020-08,9
2020-09,12
2020-10,54
2020-11,42
2020-12,100
2021-01,19
2021-02,30
2021-03,17
2021-04,8
2021-05,24
