月份,china australia iron ore: (全球)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,100
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,46
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,29
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,44
2008-03,0
2008-04,0
2008-05,20
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,17
2008-11,17
2008-12,0
2009-01,0
2009-02,0
2009-03,15
2009-04,0
2009-05,0
2009-06,15
2009-07,15
2009-08,0
2009-09,0
2009-10,0
2009-11,13
2009-12,13
2010-01,12
2010-02,0
2010-03,0
2010-04,12
2010-05,12
2010-06,0
2010-07,11
2010-08,0
2010-09,10
2010-10,10
2010-11,10
2010-12,10
2011-01,0
2011-02,9
2011-03,0
2011-04,9
2011-05,8
2011-06,9
2011-07,0
2011-08,8
2011-09,0
2011-10,0
2011-11,0
2011-12,22
2012-01,0
2012-02,7
2012-03,0
2012-04,14
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,20
2012-10,0
2012-11,0
2012-12,6
2013-01,5
2013-02,18
2013-03,5
2013-04,0
2013-05,0
2013-06,0
2013-07,5
2013-08,0
2013-09,0
2013-10,10
2013-11,5
2013-12,0
2014-01,5
2014-02,0
2014-03,5
2014-04,0
2014-05,5
2014-06,5
2014-07,0
2014-08,0
2014-09,5
2014-10,0
2014-11,5
2014-12,10
2015-01,0
2015-02,5
2015-03,4
2015-04,9
2015-05,9
2015-06,0
2015-07,22
2015-08,4
2015-09,4
2015-10,8
2015-11,4
2015-12,4
2016-01,0
2016-02,0
2016-03,8
2016-04,9
2016-05,8
2016-06,4
2016-07,5
2016-08,14
2016-09,0
2016-10,21
2016-11,0
2016-12,4
2017-01,0
2017-02,4
2017-03,4
2017-04,8
2017-05,4
2017-06,8
2017-07,8
2017-08,0
2017-09,4
2017-10,4
2017-11,0
2017-12,0
2018-01,4
2018-02,4
2018-03,4
2018-04,4
2018-05,4
2018-06,8
2018-07,0
2018-08,7
2018-09,7
2018-10,4
2018-11,4
2018-12,8
2019-01,0
2019-02,4
2019-03,0
2019-04,0
2019-05,11
2019-06,7
2019-07,4
2019-08,7
2019-09,3
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,3
2020-03,6
2020-04,0
2020-05,41
2020-06,18
2020-07,18
2020-08,6
2020-09,12
2020-10,6
2020-11,29
2020-12,74
2021-01,13
2021-02,7
2021-03,12
2021-04,16
2021-05,44
