Date,Myspic综合钢价指数,MySpic指数:螺纹
1997-01-01,107.00 ,107.00 
1997-02-01,107.00 ,107.00 
1997-03-01,107.00 ,106.00 
1997-04-01,106.00 ,106.00 
1997-05-01,106.00 ,105.00 
1997-06-01,104.00 ,104.00 
1997-07-01,103.00 ,103.00 
1997-08-01,102.00 ,102.00 
1997-09-01,102.00 ,102.00 
1997-10-01,101.00 ,102.00 
1997-11-01,101.00 ,102.00 
1997-12-01,100.00 ,101.00 
1998-01-01,100.00 ,102.00 
1998-02-01,98.00 ,100.00 
1998-03-01,98.00 ,100.00 
1998-04-01,96.00 ,97.00 
1998-05-01,95.00 ,98.00 
1998-06-01,94.00 ,95.00 
1998-07-01,92.00 ,94.00 
1998-08-01,91.00 ,93.00 
1998-09-01,91.00 ,95.00 
1998-10-01,91.00 ,94.00 
1998-11-01,91.00 ,94.00 
1998-12-01,89.00 ,92.00 
1999-01-01,89.00 ,90.00 
1999-02-01,90.00 ,90.00 
1999-03-01,89.00 ,89.00 
1999-04-01,88.00 ,89.00 
1999-05-01,89.00 ,88.00 
1999-06-01,89.00 ,88.00 
1999-07-01,88.00 ,87.00 
1999-08-01,87.00 ,85.00 
1999-09-01,87.00 ,85.00 
1999-10-01,86.00 ,84.00 
1999-11-01,87.00 ,83.00 
1999-12-01,87.00 ,84.00 
1999-12-31,,82.00 
2000-01-07,,82.00 
2000-01-14,,82.00 
2000-01-21,,82.00 
2000-01-28,88.00 ,82.00 
2000-02-04,,82.00 
2000-02-11,,82.00 
2000-02-18,,82.00 
2000-02-25,88.00 ,83.00 
2000-03-03,,83.00 
2000-03-10,,83.00 
2000-03-17,,84.00 
2000-03-24,106.00 ,84.00 
2000-03-31,,85.00 
2000-04-07,,93.00 
2000-04-14,,105.00 
2000-04-21,,112.00 
2000-04-28,103.00 ,111.00 
2000-05-05,,110.00 
2000-05-12,,110.00 
2000-05-19,,105.00 
2000-05-26,101.00 ,104.00 
2000-06-02,,103.00 
2000-06-09,,103.00 
2000-06-16,,100.00 
2000-06-23,100.00 ,99.00 
2000-06-30,,99.00 
2000-07-07,,99.00 
2000-07-14,,100.00 
2000-07-21,,100.00 
2000-07-28,100.00 ,100.00 
2000-08-04,100.00 ,100.00 
2000-08-11,100.00 ,100.00 
