指标名称,螺焦比,螺矿比
2011/4/15,2.1499,
2011/4/18,2.0602,
2011/4/19,2.0439,
2011/4/20,2.0434,
2011/4/21,2.0699,
2011/4/22,2.0949,
2011/4/25,2.0887,
2011/4/26,2.1075,
2011/4/27,2.1049,
2011/4/28,2.1041,
2011/4/29,2.0982,
2011/5/3,2.1136,
2011/5/4,2.1175,
2011/5/5,2.1256,
2011/5/6,2.1218,
2011/5/9,2.1133,
2011/5/10,2.1192,
2011/5/11,2.0875,
2011/5/12,2.0527,
2011/5/13,2.0033,
2011/5/16,2.0062,
2011/5/17,2.0125,
2011/5/18,2.0138,
2011/5/19,2.0345,
2011/5/20,2.0294,
2011/5/23,2.0305,
2011/5/24,2.0228,
2011/5/25,2.0303,
2011/5/26,2.0235,
2011/5/27,2.044,
2011/5/30,2.054,
2011/5/31,2.0553,
2011/6/1,2.0618,
2011/6/2,2.0656,
2011/6/3,2.088,
2011/6/7,2.0824,
2011/6/8,2.0894,
2011/6/9,2.089,
2011/6/10,2.0985,
2011/6/13,2.0818,
2011/6/14,2.0604,
2011/6/15,2.0644,
2011/6/16,2.0701,
2011/6/17,2.055,
2011/6/20,2.0515,
2011/6/21,2.0587,
2011/6/22,2.0537,
2011/6/23,2.0433,
2011/6/24,2.0498,
2011/6/27,2.0464,
2011/6/28,2.0289,
2011/6/29,2.0535,
2011/6/30,2.0572,
2011/7/1,2.0525,
2011/7/4,2.0657,
2011/7/5,2.0731,
2011/7/6,2.057,
2011/7/7,2.0675,
2011/7/8,2.083,
2011/7/11,2.0962,
2011/7/12,2.1109,
2011/7/13,2.1148,
2011/7/14,2.1158,
2011/7/15,2.1128,
2011/7/18,2.1265,
2011/7/19,2.128,
2011/7/20,2.1372,
2011/7/21,2.1468,
2011/7/22,2.1535,
2011/7/25,2.1416,
2011/7/26,2.1395,
2011/7/27,2.15,
2011/7/28,2.1482,
2011/7/29,2.1579,
2011/8/1,2.1737,
2011/8/2,2.1786,
2011/8/3,2.1848,
2011/8/4,2.1742,
2011/8/5,2.1063,
2011/8/8,2.1024,
2011/8/9,2.1255,
2011/8/10,2.1385,
2011/8/11,2.1491,
2011/8/12,2.1582,
2011/8/15,2.1925,
2011/8/16,2.225,
2011/8/17,2.2424,
2011/8/18,2.2577,
2011/8/19,2.2723,
2011/8/22,2.1382,
2011/8/23,2.2033,
2011/8/24,2.2263,
2011/8/25,2.1873,
2011/8/26,2.1684,
2011/8/29,2.1616,
2011/8/30,2.1685,
2011/8/31,2.1559,
2011/9/1,2.1577,
2011/9/2,2.1731,
2011/9/5,2.1666,
2011/9/6,2.1436,
2011/9/7,2.1461,
2011/9/8,2.1499,
2011/9/9,2.1434,
2011/9/13,2.1401,
2011/9/14,2.1472,
2011/9/15,2.13,
2011/9/16,2.1185,
2011/9/19,2.0885,
2011/9/20,2.0866,
2011/9/21,2.074,
2011/9/22,2.0842,
2011/9/23,2.0843,
2011/9/26,2.1085,
2011/9/27,2.1154,
2011/9/28,2.1157,
2011/9/29,2.1262,
2011/9/30,2.123,
2011/10/10,2.1146,
2011/10/11,2.1085,
2011/10/12,2.0998,
2011/10/13,2.0986,
2011/10/14,2.0952,
2011/10/17,2.086,
2011/10/18,2.0723,
2011/10/19,2.0503,
2011/10/20,2.0504,
2011/10/21,2.0638,
2011/10/24,2.0721,
2011/10/25,2.0516,
2011/10/26,2.0443,
2011/10/27,2.0533,
2011/10/28,2.0644,
2011/10/31,2.0946,
2011/11/1,2.0878,
2011/11/2,2.0739,
2011/11/3,2.0738,
2011/11/4,2.0879,
2011/11/7,2.098,
2011/11/8,2.0901,
2011/11/9,2.1011,
2011/11/10,2.0911,
2011/11/11,2.0462,
2011/11/14,2.0605,
2011/11/15,2.0209,
2011/11/16,2.0493,
2011/11/17,2.0528,
2011/11/18,2.0647,
2011/11/21,2.0429,
2011/11/22,2.0478,
2011/11/23,2.055,
2011/11/24,2.055,
2011/11/25,2.0574,
2011/11/28,2.0748,
2011/11/29,2.0963,
2011/11/30,2.052,
2011/12/1,2.0801,
2011/12/2,2.0786,
2011/12/5,2.0861,
2011/12/6,2.1052,
2011/12/7,2.1135,
2011/12/8,2.1212,
2011/12/9,2.0877,
2011/12/12,2.1105,
2011/12/13,2.1196,
2011/12/14,2.1277,
2011/12/15,2.1396,
2011/12/16,2.1285,
2011/12/19,2.1217,
2011/12/20,2.1129,
2011/12/21,2.1141,
2011/12/22,2.1265,
2011/12/23,2.1374,
2011/12/26,2.1516,
2011/12/27,2.1624,
2011/12/28,2.1364,
2011/12/29,2.1302,
2011/12/30,2.1026,
2012/1/4,2.0959,
2012/1/5,2.0944,
2012/1/6,2.0678,
2012/1/9,2.0556,
2012/1/10,2.0609,
2012/1/11,2.046,
2012/1/12,2.046,
2012/1/13,2.0465,
2012/1/16,2.0735,
2012/1/17,2.0771,
2012/1/18,2.0808,
2012/1/19,2.0766,
2012/1/20,2.0795,
2012/1/30,2.0639,
2012/1/31,2.0472,
2012/2/1,2.0566,
2012/2/2,2.0687,
2012/2/3,2.0749,
2012/2/6,2.0545,
2012/2/7,2.0427,
2012/2/8,2.0466,
2012/2/9,2.0557,
2012/2/10,2.0614,
2012/2/13,2.054,
2012/2/14,2.0575,
2012/2/15,2.0401,
2012/2/16,2.0346,
2012/2/17,2.0336,
2012/2/20,2.0336,
2012/2/21,2.0443,
2012/2/22,2.0528,
2012/2/23,2.0548,
2012/2/24,2.0445,
2012/2/27,2.0553,
2012/2/28,2.0557,
2012/2/29,2.0546,
2012/3/1,2.0625,
2012/3/2,2.056,
2012/3/5,2.0598,
2012/3/6,2.0683,
2012/3/7,2.0712,
2012/3/8,2.0848,
2012/3/9,2.0917,
2012/3/12,2.104,
2012/3/13,2.1088,
2012/3/14,2.1162,
2012/3/15,2.1378,
2012/3/16,2.145,
2012/3/19,2.1589,
2012/3/20,2.1491,
2012/3/21,2.1405,
2012/3/22,2.1437,
2012/3/23,2.13,
2012/3/26,2.1281,
2012/3/27,2.1345,
2012/3/28,2.1422,
2012/3/29,2.1359,
2012/3/30,2.1364,
2012/4/5,2.1472,
2012/4/6,2.1721,
2012/4/9,2.1886,
2012/4/10,2.1942,
2012/4/11,2.1811,
2012/4/12,2.1966,
2012/4/13,2.2081,
2012/4/16,2.0844,
2012/4/17,2.0812,
2012/4/18,2.0993,
2012/4/19,2.1053,
2012/4/20,2.0952,
2012/4/23,2.1221,
2012/4/24,2.1243,
2012/4/25,2.123,
2012/4/26,2.1235,
2012/4/27,2.123,
2012/5/2,2.1235,
2012/5/3,2.1194,
2012/5/4,2.1304,
2012/5/7,2.1167,
2012/5/8,2.1324,
2012/5/9,2.1244,
2012/5/10,2.1211,
2012/5/11,2.1142,
2012/5/14,2.148,
2012/5/15,2.1573,
2012/5/16,2.1631,
2012/5/17,2.1711,
2012/5/18,2.1776,
2012/5/21,2.1699,
2012/5/22,2.1666,
2012/5/23,2.1595,
2012/5/24,2.1587,
2012/5/25,2.1634,
2012/5/28,2.1656,
2012/5/29,2.172,
2012/5/30,2.1851,
2012/5/31,2.1968,
2012/6/1,2.1997,
2012/6/4,2.2259,
2012/6/5,2.2533,
2012/6/6,2.2592,
2012/6/7,2.2629,
2012/6/8,2.2959,
2012/6/11,2.2902,
2012/6/12,2.325,
2012/6/13,2.3532,
2012/6/14,2.3652,
2012/6/15,2.3686,
2012/6/18,2.3641,
2012/6/19,2.3564,
2012/6/20,2.354,
2012/6/21,2.3711,
2012/6/25,2.3892,
2012/6/26,2.4183,
2012/6/27,2.4108,
2012/6/28,2.4519,
2012/6/29,2.4636,
2012/7/2,2.4076,
2012/7/3,2.3596,
2012/7/4,2.3328,
2012/7/5,2.3188,
2012/7/6,2.3222,
2012/7/9,2.3245,
2012/7/10,2.3018,
2012/7/11,2.2716,
2012/7/12,2.2263,
2012/7/13,2.2063,
2012/7/16,2.2282,
2012/7/17,2.2572,
2012/7/18,2.2433,
2012/7/19,2.2135,
2012/7/20,2.2339,
2012/7/23,2.295,
2012/7/24,2.2947,
2012/7/25,2.3338,
2012/7/26,2.3656,
2012/7/27,2.3585,
2012/7/30,2.3854,
2012/7/31,2.4142,
2012/8/1,2.3599,
2012/8/2,2.3257,
2012/8/3,2.3232,
2012/8/6,2.341,
2012/8/7,2.3478,
2012/8/8,2.3325,
2012/8/9,2.3247,
2012/8/10,2.339,
2012/8/13,2.3622,
2012/8/14,2.4056,
2012/8/15,2.423,
2012/8/16,2.4058,
2012/8/17,2.3863,
2012/8/20,2.3701,
2012/8/21,2.4062,
2012/8/22,2.3999,
2012/8/23,2.3686,
2012/8/24,2.3581,
2012/8/27,2.3714,
2012/8/28,2.3811,
2012/8/29,2.4028,
2012/8/30,2.4541,
2012/8/31,2.4435,
2012/9/3,2.4272,
2012/9/4,2.4467,
2012/9/5,2.4749,
2012/9/6,2.4839,
2012/9/7,2.5026,
2012/9/10,2.4835,
2012/9/11,2.4511,
2012/9/12,2.397,
2012/9/13,2.3848,
2012/9/14,2.418,
2012/9/17,2.4769,
2012/9/18,2.4519,
2012/9/19,2.4521,
2012/9/20,2.4567,
2012/9/21,2.4242,
2012/9/24,2.4507,
2012/9/25,2.442,
2012/9/26,2.4607,
2012/9/27,2.4449,
2012/9/28,2.4453,
2012/10/8,2.4826,
2012/10/9,2.4453,
2012/10/10,2.3908,
2012/10/11,2.3795,
2012/10/12,2.3559,
2012/10/15,2.3353,
2012/10/16,2.3275,
2012/10/17,2.3117,
2012/10/18,2.3124,
2012/10/19,2.3176,
2012/10/22,2.3472,
2012/10/23,2.3737,
2012/10/24,2.3873,
2012/10/25,2.2684,
2012/10/26,2.2867,
2012/10/29,2.3045,
2012/10/30,2.3163,
2012/10/31,2.3073,
2012/11/1,2.3119,
2012/11/2,2.3159,
2012/11/5,2.2926,
2012/11/6,2.2895,
2012/11/7,2.3231,
2012/11/8,2.3498,
2012/11/9,2.3419,
2012/11/12,2.3316,
2012/11/13,2.3232,
2012/11/14,2.3244,
2012/11/15,2.3212,
2012/11/16,2.2995,
2012/11/19,2.2659,
2012/11/20,2.2639,
2012/11/21,2.2528,
2012/11/22,2.2393,
2012/11/23,2.2484,
2012/11/26,2.2442,
2012/11/27,2.2557,
2012/11/28,2.2649,
2012/11/29,2.2626,
2012/11/30,2.2739,
2012/12/3,2.2738,
2012/12/4,2.2748,
2012/12/5,2.2826,
2012/12/6,2.2848,
2012/12/7,2.2795,
2012/12/10,2.27,
2012/12/11,2.2639,
2012/12/12,2.2707,
2012/12/13,2.2728,
2012/12/14,2.2823,
2012/12/17,2.2868,
2012/12/18,2.2689,
2012/12/19,2.2733,
2012/12/20,2.2757,
2012/12/21,2.2591,
2012/12/24,2.2626,
2012/12/25,2.2717,
2012/12/26,2.2577,
2012/12/27,2.2338,
2012/12/28,2.2341,
2012/12/31,2.2099,
2013/1/4,2.1839,
2013/1/7,2.1928,
2013/1/8,2.1943,
2013/1/9,2.1971,
2013/1/10,2.2166,
2013/1/11,2.2194,
2013/1/14,2.1945,
2013/1/15,2.1972,
2013/1/16,2.1959,
2013/1/17,2.1878,
2013/1/18,2.1647,
2013/1/21,2.1269,
2013/1/22,2.131,
2013/1/23,2.1411,
2013/1/24,2.1687,
2013/1/25,2.1688,
2013/1/28,2.1783,
2013/1/29,2.1578,
2013/1/30,2.1661,
2013/1/31,2.1779,
2013/2/1,2.1746,
2013/2/4,2.1892,
2013/2/5,2.1803,
2013/2/6,2.1583,
2013/2/7,2.0252,
2013/2/8,2.0365,
2013/2/18,2.121,
2013/2/19,2.1296,
2013/2/20,2.1294,
