日期,沪市终端线螺采购量(周)
2004/10/15,65660
2004/10/22,88790
2004/10/29,60703
2004/11/5,68334
2004/11/12,87346
2004/11/19,124079
2004/11/26,83876
2004/12/3,95479
2004/12/10,52671
2004/12/17,149411
2004/12/24,80535
2005/1/7,58519
2005/1/14,41581
2005/1/21,36844
2005/1/28,38369
2005/2/4,43692
2005/2/11,38846
2005/2/18,11282
2005/2/25,66068
2005/3/4,64745
2005/3/11,54369
2005/3/18,48222
2005/3/25,71110
2005/4/1,54319
2005/4/8,55228
2005/4/15,73964
2005/4/22,172574
2005/4/29,94439
2005/5/6,54907
2005/5/13,65818
2005/5/20,62071
2005/5/27,68958
2005/6/3,76021
2005/6/10,59057
2005/6/17,77110
2005/6/24,54672
2005/7/1,59204
2005/7/8,43785
2005/7/15,56558
2005/7/22,46558
2005/7/29,71392
2005/8/5,47345
2005/8/12,37730
2005/8/19,87550
2005/8/26,56108
2005/9/2,48081
2005/9/9,48834
2005/9/16,47023
2005/9/23,62654
2005/9/30,151743
2005/10/7,22859
2005/10/14,54724
2005/10/21,71521
2005/10/28,61893
2005/11/4,55566
2005/11/11,48042
2005/11/18,77368
2005/11/25,77442
2005/12/2,133243
2005/12/9,50291
2005/12/16,67529
2005/12/23,56677
2005/12/30,71551
2006/1/6,27479
2006/1/13,65266
2006/1/20,39530
2006/1/27,28596
2006/2/3,7149
2006/2/10,48417
2006/2/17,67445
2006/2/24,55503
2006/3/3,66193
2006/3/10,90083
2006/3/17,74733
2006/3/24,65645
2006/3/31,56862
2006/4/7,120958
2006/4/14,39206
2006/4/21,37459
2006/4/28,97656
2006/5/5,7735
2006/5/12,47753
2006/5/19,37978
2006/5/26,37382
2006/6/2,44025
2006/6/9,37999
2006/6/16,32299
2006/6/23,32580
2006/6/30,70212
2006/7/7,51420
2006/7/14,40587
2006/7/21,68065
2006/7/28,57154
2006/8/4,82858
2006/8/11,54395
2006/8/18,52233
2006/8/25,75624
2006/9/1,50328
2006/9/8,48605
2006/9/15,60053
2006/9/22,60222
2006/9/29,69697
2006/10/6,20848
2006/10/13,42279
2006/10/20,47539
2006/10/27,50614
2006/11/3,63107
2006/11/10,71675
2006/11/17,53234
2006/11/24,45760
2006/12/1,54788
2006/12/8,51783
2006/12/15,46269
2006/12/22,50063
2006/12/29,85147
2007/1/5,22515
2007/1/12,46452
2007/1/19,56073
2007/1/26,52829
2007/2/2,45085
2007/2/9,33246
2007/2/16,4998
2007/2/23,1049
2007/3/2,27067
2007/3/9,63387
2007/3/16,55368
2007/3/23,52012
2007/3/30,54197
2007/4/6,50790
2007/4/13,72778
2007/4/20,79910
2007/4/27,103128
2007/5/4,20536
2007/5/11,61126
2007/5/18,64972
2007/5/25,55841
2007/6/1,50978
2007/6/8,49287
2007/6/15,47529
2007/6/22,47816
2007/6/29,49950
2007/7/6,55830
2007/7/13,61933
2007/7/20,60326
2007/7/27,48737
2007/8/3,50460
2007/8/10,55914
2007/8/17,61212
2007/8/24,54462
2007/8/31,56374
2007/9/7,60765
2007/9/14,56691
2007/9/21,55718
2007/9/28,93144
2007/10/5,12514
2007/10/12,71788
2007/10/19,56731
2007/10/26,74668
2007/11/2,61703
2007/11/9,77603
2007/11/16,64866
2007/11/23,66654
2007/11/30,82626
2007/12/7,63126
2007/12/14,58396
2007/12/21,58941
2007/12/28,80665
2008/1/4,49389
2008/1/11,66135
2008/1/18,40808
2008/1/25,30108
2008/2/15,25601
2008/2/22,36792
2008/2/29,55432
2008/3/7,71073
2008/3/14,68526
2008/3/21,57398
2008/3/28,69481
2008/4/4,63485
2008/4/11,5174
2008/4/18,61823
2008/4/25,65133
2008/5/2,60106
2008/5/9,51024
2008/5/16,57273
2008/5/23,64828
2008/5/30,43162
2008/6/6,50758
2008/6/13,39643
2008/6/20,39713
2008/6/27,43525
2008/7/4,42700
2008/7/11,47812
2008/7/18,41332
2008/7/25,48963
2008/8/1,42207
2008/8/8,43384
2008/8/15,46764
2008/8/22,37464
2008/8/29,42633
2008/9/5,55119
2008/9/12,62907
2008/9/19,51414
2008/9/26,100986
2008/10/3,49371
2008/10/10,71226
2008/10/17,64563
2008/10/24,60993
2008/10/31,60993
2008/11/7,63714
2008/11/14,62049
2008/11/21,67236
2008/11/28,63741
2008/12/5,64191
2008/12/12,61722
2008/12/19,58557
2008/12/26,38802
2009/1/2,42624
2009/1/9,43698
2009/1/16,43008
2009/1/23,5582
2009/2/6,38851
2009/2/13,42900
2009/2/20,73803
2009/2/27,53028
2009/3/6,35646
2009/3/13,48066
2009/3/20,56400
2009/3/27,54000
2009/4/3,63000
2009/4/10,62400
2009/4/17,71262
2009/4/24,63237
2009/5/1,57000
2009/5/8,65700
2009/5/15,57000
2009/5/22,59688
2009/5/29,57000
2009/6/5,46700
2009/6/12,54600
2009/6/19,56300
2009/6/26,58300
2009/7/3,51600
2009/7/10,48900
2009/7/17,48600
2009/7/24,48900
2009/7/31,51200
2009/8/7,39500
2009/8/14,40800
2009/8/21,42100
2009/8/28,45200
2009/9/4,45900
2009/9/11,62900
2009/9/18,39900
2009/9/25,72300
2009/10/9,39600
2009/10/16,49300
2009/10/23,58800
2009/10/30,65700
2009/11/6,57900
2009/11/13,48200
2009/11/20,33000
2009/11/27,48900
2009/12/4,47600
2009/12/11,51200
2009/12/18,42600
2009/12/25,42900
2010/1/1,38600
2010/1/8,42500
2010/1/15,31500
2010/1/22,34500
2010/1/29,18900
2010/2/5,19200
2010/2/12,2600
2010/2/26,21000
2010/3/5,29600
2010/3/12,37200
2010/3/19,56400
2010/3/26,36300
2010/4/2,41200
2010/4/9,31200
2010/4/16,33900
2010/4/23,28900
2010/4/30,30396
2010/5/7,21858
2010/5/14,24060
2010/5/21,29415
2010/5/28,32435.73
2010/6/4,29568
2010/6/11,27531
2010/6/18,17793
2010/6/25,19206
2010/7/2,20955
2010/7/9,22310
2010/7/16,19743
2010/7/23,26430
2010/7/30,43212
2010/8/6,33198
2010/8/13,30930
2010/8/20,23544
2010/8/27,25773.92
2010/9/3,30079.6
2010/9/10,35600
2010/9/17,24423
2010/9/24,24078
2010/10/1,37016.27
2010/10/15,35100
2010/10/22,31319
2010/10/29,23647.07
2010/11/5,26900.96
2010/11/12,39084
2010/11/19,29541
2010/11/26,38076
2010/12/3,25095
2010/12/10,27390
2010/12/17,25000
2010/12/24,26709
2010/12/31,25845
2011/1/7,19353
2011/1/14,16616
