Date,close,settle,vwap,trade_hiscode
2010/4/26,4734,4741,4741.285989,RB1010.SHF
2010/4/27,4678,4689,4689.710317,RB1010.SHF
2010/4/28,4588,4619,4619.746196,RB1010.SHF
2010/4/29,4583,4599,4599.173739,RB1010.SHF
2010/4/30,4635,4609,4609.639683,RB1010.SHF
2010/5/4,4665,4649,4649.355076,RB1010.SHF
2010/5/5,4653,4636,4636.111524,RB1010.SHF
2010/5/6,4637,4653,4653.013463,RB1010.SHF
2010/5/7,4545,4565,4565.392741,RB1010.SHF
2010/5/10,4534,4527,4527.262968,RB1010.SHF
2010/5/11,4479,4510,4510.98037,RB1010.SHF
2010/5/12,4406,4422,4422.202929,RB1010.SHF
2010/5/13,4400,4401,4401.968562,RB1010.SHF
2010/5/14,4367,4394,4394.682084,RB1010.SHF
2010/5/17,4186,4235,4235.846998,RB1010.SHF
2010/5/18,4209,4180,4180.038763,RB1010.SHF
2010/5/19,4223,4205,4205.732939,RB1010.SHF
2010/5/20,4251,4267,4267.673683,RB1010.SHF
2010/5/21,4228,4208,4208.168664,RB1010.SHF
2010/5/24,4318,4284,4284.875223,RB1010.SHF
2010/5/25,4264,4284,4284.456683,RB1010.SHF
2010/5/26,4272,4272,4272.923465,RB1010.SHF
2010/5/27,4270,4251,4251.065429,RB1010.SHF
2010/5/28,4256,4279,4279.060495,RB1010.SHF
2010/5/31,4215,4237,4237.271466,RB1010.SHF
2010/6/1,4178,4189,4189.884358,RB1010.SHF
2010/6/2,4185,4174,4174.097593,RB1010.SHF
2010/6/3,4200,4197,4197.686357,RB1010.SHF
2010/6/4,4180,4174,4174.359359,RB1010.SHF
2010/6/7,4021,4037,4037.344059,RB1010.SHF
2010/6/8,4061,4043,4043.130956,RB1010.SHF
2010/6/9,4103,4074,4074.969771,RB1010.SHF
2010/6/10,4082,4085,4085.245953,RB1010.SHF
2010/6/11,4111,4110,4110.905595,RB1010.SHF
2010/6/17,4112,4130,4130.046196,RB1010.SHF
2010/6/18,4088,4106,4106.788215,RB1010.SHF
2010/6/21,4163,4132,4132.910735,RB1010.SHF
2010/6/22,4138,4143,4143.090936,RB1010.SHF
2010/6/23,4080,4087,4087.78479,RB1010.SHF
2010/6/24,4101,4099,4099.115554,RB1010.SHF
2010/6/25,4084,4085,4085.515981,RB1010.SHF
2010/6/28,4039,4058,4058.380235,RB1010.SHF
2010/6/29,3994,4005,4005.581683,RB1010.SHF
2010/6/30,3985,3971,3971.973552,RB1010.SHF
2010/7/1,3960,3966,3966.541715,RB1010.SHF
2010/7/2,3975,3948,3948.998689,RB1010.SHF
2010/7/5,3989,3976,3976.654982,RB1010.SHF
2010/7/6,3964,3976,3976.184728,RB1010.SHF
2010/7/7,3965,3964,3964.793052,RB1010.SHF
2010/7/8,3935,3957,3957.226615,RB1010.SHF
2010/7/9,3950,3932,3932.008144,RB1010.SHF
