指标名称,唐山市AQI全国当日排名,唐山市PM2.5,唐山市AQI
2016/3/1,,,
2016/3/15,64,100,132
2016/3/16,7,188,238
2016/3/17,48,136,180
2016/3/18,24,174,224
2016/3/19,166,58,93
2016/3/20,112,62,101
2016/3/21,65,85,113
2016/3/22,45,72,116
2016/3/23,149,29,62
2016/3/24,68,43,78
2016/3/25,95,46,78
2016/3/26,170,40,73
2016/3/27,177,34,75
2016/3/28,21,88,122
2016/3/29,210,23,75
2016/3/30,153,48,87
2016/3/31,26,116,152
2016/4/1,92,57,103
2016/4/2,318,17,42
2016/4/3,54,34,82
2016/4/4,60,56,85
2016/4/5,39,58,104
2016/4/6,41,86,114
2016/4/7,36,67,111
2016/4/8,80,33,90
2016/4/9,10,59,195
2016/4/10,49,39,108
2016/4/11,180,38,69
2016/4/12,27,108,142
2016/4/13,4,176,226
2016/4/14,146,43,82
2016/4/15,10,106,139
2016/4/16,12,70,105
2016/4/17,211,15,55
2016/4/18,256,23,53
2016/4/19,44,69,93
2016/4/20,23,98,129
2016/4/22,13,56,163
2016/4/23,155,20,67
2016/4/24,25,73,119
2016/4/25,29,64,111
2016/4/26,64,46,90
2016/4/27,32,76,103
2016/5/1,,,
2016/5/6,39,54,130
2016/5/7,198,25,58
2016/5/8,12,35,108
2016/5/9,87,38,76
2016/5/10,133,44,81
2016/5/11,16,108,169
2016/5/12,122,43,99
2016/5/13,186,44,69
2016/5/14,109,54,74
2016/5/15,105,45,63
2016/5/16,130,28,77
2016/5/17,11,54,141
2016/5/18,10,66,159
2016/5/19,5,72,203
2016/5/20,52,63,119
2016/5/21,25,74,133
2016/5/22,43,55,109
2016/5/23,35,66,103
2016/5/24,120,37,81
2016/5/25,147,20,68
2016/5/26,118,26,72
2016/5/27,21,49,110
2016/5/28,12,58,142
2016/5/29,109,55,85
2016/5/30,3,84,202
2016/5/31,59,47,101
2016/6/1,69,38,88
2016/6/2,8,38,152
2016/6/3,34,85,116
2016/6/4,7,87,149
2016/6/5,151,50,78
2016/6/6,18,97,137
2016/6/7,48,58,102
2016/6/8,3,100,167
2016/6/9,4,112,185
2016/6/10,5,100,145
2016/6/11,74,44,83
2016/6/12,23,60,117
2016/6/13,85,56,93
2016/6/14,142,50,69
2016/6/15,37,30,90
2016/6/16,15,53,139
2016/6/17,5,61,169
2016/6/18,46,39,121
2016/6/19,9,67,162
2016/6/20,11,81,146
2016/6/21,3,125,165
2016/6/22,32,58,120
2016/6/23,5,114,149
2016/6/24,155,19,54
2016/6/25,85,24,77
2016/6/26,12,41,155
2016/6/27,47,62,111
2016/6/28,106,58,79
2016/6/29,2,144,192
2016/6/30,1,151,201
2016/7/1,44,70,94
2016/7/2,22,67,118
2016/7/3,66,62,94
2016/7/4,25,87,115
2016/7/5,18,82,129
2016/7/6,23,60,131
2016/7/7,37,64,110
2016/7/8,91,55,75
2016/7/9,45,66,90
2016/7/10,47,67,90
2016/7/11,11,72,127
2016/7/12,18,76,102
2016/7/13,38,35,90
2016/7/14,103,46,67
2016/7/15,98,46,64
2016/7/16,183,30,55
2016/7/17,104,32,84
2016/7/18,164,35,59
2016/7/19,36,72,97
2016/7/20,142,28,53
2016/7/21,137,40,57
2016/7/22,95,49,72
2016/7/23,132,50,69
2016/7/24,50,72,97
2016/7/25,104,56,77
2016/7/26,155,34,71
2016/7/27,97,48,85
2016/7/28,40,61,118
2016/7/29,195,38,65
2016/7/30,107,63,85
2016/7/31,80,45,88
2016/8/1,69,46,85
2016/8/2,38,48,88
2016/8/3,9,66,130
2016/8/4,109,47,65
2016/8/5,126,38,63
2016/8/6,75,52,80
2016/8/7,149,28,56
2016/8/8,94,27,67
2016/8/9,88,53,73
2016/8/10,22,68,97
2016/8/11,10,50,107
2016/8/12,146,43,62
2016/8/13,123,39,64
2016/8/14,34,31,90
2016/8/15,101,30,64
2016/8/16,86,35,75
2016/8/17,127,39,70
2016/8/18,95,37,78
2016/8/19,58,19,83
2016/8/20,145,19,63
2016/8/21,45,36,95
2016/8/22,137,37,73
2016/8/23,232,28,57
2016/8/24,213,44,67
2016/8/25,185,22,57
2016/8/26,110,10,62
2016/8/27,188,14,58
2016/8/28,171,14,65
2016/8/29,319,12,38
2016/8/30,284,16,40
2016/8/31,286,16,34
2016/9/1,270,13,35
2016/9/2,104,33,84
2016/9/3,72,57,107
2016/9/4,72,48,100
2016/9/5,138,29,77
2016/9/6,20,44,116
2016/9/7,109,52,72
2016/9/8,120,56,83
2016/9/9,19,86,140
2016/9/10,26,79,112
2016/9/11,103,54,74
2016/9/12,131,53,73
2016/9/13,62,70,95
2016/9/14,10,92,140
2016/9/15,9,116,152
2016/9/16,6,118,155
2016/9/17,69,46,80
2016/9/18,140,26,62
2016/9/19,241,23,51
2016/9/20,143,35,72
2016/9/21,149,56,79
2016/9/22,19,84,137
2016/9/23,12,112,147
2016/9/24,10,119,156
2016/9/25,30,99,130
2016/9/26,56,80,107
2016/9/27,76,56,77
2016/9/28,139,24,54
2016/9/29,10,70,94
2016/9/30,18,94,124
2016/10/1,5,148,198
2016/10/2,7,152,202
2016/10/3,54,75,100
2016/10/4,179,32,60
2016/10/5,150,47,69
2016/10/6,187,42,59
2016/10/7,59,50,79
2016/10/8,225,24,44
2016/10/9,29,61,84
2016/10/10,3,96,127
2016/10/11,11,86,114
2016/10/12,59,70,94
2016/10/13,7,154,204
2016/10/14,56,67,90
2016/10/15,14,90,119
2016/10/16,31,76,102
2016/10/17,69,62,84
2016/10/18,38,89,118
2016/10/19,4,184,234
2016/10/20,90,48,79
2016/10/21,31,62,98
2016/10/22,105,33,55
2016/10/23,58,35,64
2016/10/24,14,80,107
2016/10/25,6,113,148
2016/10/26,49,59,81
2016/10/27,14,76,104
2016/10/28,132,28,52
2016/10/29,31,32,75
2016/10/30,30,66,89
2016/10/31,182,25,50
2016/11/1,44,69,93
2016/11/2,29,105,138
2016/11/3,9,178,228
2016/11/4,12,218,268
2016/11/5,48,128,169
2016/11/6,238,55,75
2016/11/7,51,90,119
2016/11/8,108,52,72
2016/11/9,50,75,100
2016/11/10,35,103,135
2016/11/11,6,169,219
2016/11/12,169,51,76
2016/11/13,42,136,180
2016/11/14,83,100,132
2016/11/15,203,37,73
2016/11/16,19,146,195
2016/11/17,63,109,143
2016/11/18,5,266,319
2016/11/19,18,154,204
2016/11/20,162,48,68
2016/11/21,221,29,49
2016/11/22,146,21,47
2016/11/23,74,50,70
2016/11/24,91,68,92
2016/11/25,14,174,224
2016/11/26,5,208,258
2016/11/27,58,95,125
2016/11/28,65,93,123
2016/11/29,109,80,107
2016/11/30,17,142,189
2016/12/1,204,48,74
2016/12/2,62,122,160
2016/12/3,6,250,300
2016/12/4,8,267,317
2016/12/5,253,36,64
2016/12/6,19,128,169
2016/12/7,140,88,117
2016/12/8,167,86,114
2016/12/9,288,34,63
2016/12/10,62,106,139
2016/12/11,6,182,232
2016/12/12,7,230,280
2016/12/13,183,46,78
2016/12/14,147,38,72
2016/12/15,163,58,79
2016/12/16,18,164,214
2016/12/17,8,227,277
2016/12/18,10,326,376
2016/12/19,36,263,313
2016/12/20,14,342,435
2016/12/21,2,367,488
2016/12/22,51,98,129
2016/12/23,238,38,64
2016/12/24,73,89,118
2016/12/25,11,157,207
2016/12/26,41,75,100
2016/12/27,69,68,92
2016/12/28,57,92,122
2016/12/29,196,50,72
2016/12/30,27,178,228
2016/12/31,8,318,368
2017/1/1,56,187,237
2017/1/2,18,253,303
2017/1/3,12,298,348
2017/1/4,17,248,298
2017/1/5,112,108,142
2017/1/6,79,107,140
2017/1/7,27,195,245
2017/1/8,35,165,215
2017/1/9,222,27,59
2017/1/10,163,53,73
2017/1/11,46,124,163
2017/1/12,87,72,97
2017/1/13,221,31,55
2017/1/14,187,36,62
2017/1/15,142,58,79
2017/1/16,58,114,149
2017/1/17,40,156,206
2017/1/18,177,66,89
2017/1/19,211,53,73
2017/1/20,251,31,52
2017/1/21,214,51,70
2017/1/22,255,40,60
2017/1/23,59,116,152
2017/1/24,33,171,221
2017/1/25,21,289,339
2017/1/26,24,270,320
2017/1/27,219,59,80
2017/1/28,103,151,201
2017/1/29,173,60,82
2017/1/30,226,36,52
2017/1/31,67,73,98
2017/2/1,218,36,56
2017/2/2,49,109,143
2017/2/3,23,175,225
2017/2/4,20,211,261
2017/2/5,127,78,104
2017/2/6,206,31,62
2017/2/7,30,84,112
2017/2/8,74,58,79
2017/2/9,267,17,45
2017/2/10,304,22,44
2017/2/11,123,64,87
2017/2/12,27,149,199
2017/2/13,21,152,202
2017/2/14,76,122,160
2017/2/15,2,298,348
2017/2/16,9,182,232
2017/2/17,200,33,70
2017/2/18,78,95,125
2017/2/19,52,131,173
2017/2/20,219,32,65
2017/2/21,31,72,97
2017/2/22,26,111,145
2017/2/23,202,30,53
2017/2/24,111,58,80
2017/2/25,172,35,68
2017/2/26,84,65,97
2017/2/27,7,130,172
2017/2/28,33,105,138
2017/3/1,198,45,70
2017/3/2,219,37,65
2017/3/3,96,60,92
2017/3/4,32,111,145
2017/3/5,212,32,61
2017/3/6,158,36,63
2017/3/7,283,20,44
2017/3/8,257,25,53
2017/3/9,234,40,62
2017/3/10,58,84,112
2017/3/11,54,104,137
2017/3/12,209,28,57
2017/3/13,28,46,82
2017/3/14,22,74,99
2017/3/15,37,67,98
2017/3/16,11,110,144
2017/3/17,17,118,155
2017/3/18,8,146,195
2017/3/19,12,144,192
2017/3/20,14,101,133
2017/3/21,88,63,89
2017/3/22,55,80,107
2017/3/23,90,58,79
2017/3/24,63,72,97
2017/3/25,11,98,129
2017/3/26,60,67,90
2017/3/27,262,33,63
2017/3/28,106,52,88
2017/3/29,46,96,127
2017/3/30,93,66,91
2017/3/31,147,48,68
2017/4/1,83,68,93
2017/4/2,2,122,160
2017/4/3,2,146,195
2017/4/4,3,154,204
2017/4/5,145,61,83
2017/4/6,30,103,135
2017/4/7,90,70,94
2017/4/8,79,50,84
2017/4/9,24,48,85
2017/4/10,44,60,86
2017/4/11,85,41,75
2017/4/12,36,56,102
2017/4/13,10,99,130
2017/4/14,28,82,110
2017/4/15,110,61,98
2017/4/16,21,97,134
2017/4/17,14,136,180
2017/4/18,155,21,78
2017/4/19,160,38,76
2017/4/20,55,54,90
2017/4/21,94,32,75
2017/4/22,61,44,90
2017/4/23,94,49,91
2017/4/24,115,52,89
2017/4/25,118,35,71
2017/4/26,163,25,60
2017/4/27,198,23,64
2017/4/28,152,39,84
2017/4/29,180,49,90
2017/4/30,27,56,134
2017/5/1,111,48,98
2017/5/2,32,82,129
2017/5/3,48,74,99
2017/5/4,13,209,500
2017/5/5,10,141,500
2017/5/6,194,32,84
2017/5/7,129,57,99
2017/5/8,6,80,141
2017/5/9,151,37,80
2017/5/10,146,46,84
2017/5/11,22,56,135
2017/5/12,12,58,169
2017/5/13,144,36,86
2017/5/14,227,24,64
2017/5/15,83,34,79
2017/5/16,7,41,130
2017/5/17,19,51,153
2017/5/18,7,65,193
2017/5/19,26,64,163
2017/5/20,14,72,173
2017/5/21,150,56,80
2017/5/22,131,36,69
2017/5/23,56,27,77
2017/5/24,95,40,85
2017/5/25,180,28,75
2017/5/26,195,26,86
2017/5/27,130,50,121
2017/5/28,76,73,144
2017/5/29,228,36,79
2017/5/30,143,63,93
2017/5/31,18,68,165
2017/6/1,131,36,79
2017/6/2,171,30,72
2017/6/3,181,32,65
2017/6/4,5,38,140
2017/6/5,4,66,137
2017/6/6,184,41,58
2017/6/7,79,44,104
2017/6/8,31,39,135
2017/6/9,26,34,143
2017/6/10,128,22,64
2017/6/11,136,33,71
2017/6/12,133,34,68
2017/6/13,27,53,121
2017/6/14,11,43,183
2017/6/15,28,47,169
2017/6/16,6,71,203
2017/6/17,5,70,203
2017/6/18,5,49,202
2017/6/19,2,78,206
2017/6/20,34,35,134
2017/6/21,66,48,100
2017/6/22,90,51,77
2017/6/23,190,35,55
2017/6/24,155,33,68
2017/6/25,36,41,125
2017/6/26,13,54,164
2017/6/27,56,56,139
2017/6/28,2,78,207
2017/6/29,1,94,204
2017/6/30,1,81,206
2017/7/1,2,78,202
2017/7/2,124,50,77
2017/7/3,144,53,73
2017/7/4,169,41,69
2017/7/5,51,44,107
2017/7/6,67,60,82
2017/7/7,22,32,129
2017/7/8,7,49,173
2017/7/9,30,74,109
2017/7/10,12,38,165
2017/7/11,9,50,197
2017/7/12,19,48,154
2017/7/13,19,37,141
2017/7/14,6,37,178
2017/7/15,136,47,71
2017/7/16,49,38,100
2017/7/17,214,31,55
2017/7/18,36,61,100
2017/7/19,47,36,99
2017/7/20,21,56,116
2017/7/21,182,22,57
2017/7/22,87,38,82
2017/7/23,145,47,74
2017/7/24,95,60,90
2017/7/25,121,24,84
2017/7/26,120,34,87
2017/7/27,152,46,74
2017/7/28,107,46,84
2017/7/29,57,46,96
2017/7/30,12,34,144
2017/7/31,13,61,153
2017/8/1,165,36,59
2017/8/2,165,26,52
2017/8/3,116,15,77
2017/8/4,5,63,186
2017/8/5,50,86,114
2017/8/6,38,30,137
2017/8/7,30,31,116
2017/8/8,9,30,150
2017/8/9,61,20,94
2017/8/10,18,41,151
2017/8/11,43,58,114
2017/8/12,82,43,75
2017/8/13,153,36,60
2017/8/14,157,22,60
2017/8/15,23,32,114
2017/8/16,127,37,75
2017/8/17,35,38,107
2017/8/18,57,41,85
2017/8/19,76,41,76
2017/8/20,107,42,67
2017/8/21,22,42,126
2017/8/22,16,50,115
2017/8/23,141,26,58
2017/8/24,74,25,72
2017/8/25,101,19,62
2017/8/26,16,34,98
2017/8/27,73,28,74
2017/8/28,82,37,64
2017/8/29,62,26,60
2017/8/30,6,29,108
2017/8/31,113,41,61
2017/9/1,23,66,102
2017/9/2,21,55,110
2017/9/3,8,60,127
2017/9/4,4,59,118
2017/9/5,36,43,85
2017/9/6,45,25,80
2017/9/7,4,58,147
2017/9/8,6,79,153
2017/9/9,59,55,87
2017/9/10,4,88,117
2017/9/11,103,36,73
2017/9/12,34,38,117
2017/9/13,2,66,169
2017/9/14,1,58,159
2017/9/15,15,64,134
2017/9/16,14,77,137
2017/9/17,196,30,65
2017/9/18,24,48,149
2017/9/19,135,42,77
2017/9/20,110,31,70
2017/9/21,8,48,153
2017/9/22,140,34,71
2017/9/23,32,53,113
2017/9/24,20,79,111
2017/9/25,3,58,142
2017/9/26,43,54,81
2017/9/27,59,27,68
2017/9/28,167,20,53
2017/9/29,51,61,87
2017/9/30,5,111,145
2017/10/1,25,72,98
2017/10/2,99,20,61
2017/10/3,31,30,65
2017/10/4,18,43,69
2017/10/5,45,41,68
2017/10/6,29,63,85
2017/10/7,15,94,124
2017/10/8,3,142,189
2017/10/9,93,46,64
2017/10/10,122,14,52
2017/10/11,47,27,62
2017/10/12,13,67,90
2017/10/13,26,75,100
2017/10/14,66,46,75
2017/10/15,21,96,127
2017/10/16,60,60,82
2017/10/17,48,61,92
2017/10/18,27,83,110
2017/10/19,47,79,105
2017/10/20,23,105,138
2017/10/21,67,72,97
2017/10/22,153,34,74
2017/10/23,158,28,70
2017/10/24,96,61,94
2017/10/25,86,79,105
2017/10/26,5,160,210
2017/10/27,5,222,272
2017/10/28,20,116,152
