指标名称,全国建筑钢材成交量:主流贸易商:合计(日)
2015/3/17,234809
2015/3/18,200479
2015/3/19,185989
2015/3/20,181230
2015/3/23,264250
2015/3/24,266450
2015/3/25,207277
2015/3/26,178157
2015/3/27,180015
2015/3/30,220125
2015/3/31,213717
2015/4/1,197931
2015/4/2,175183
2015/4/3,180385
2015/4/7,179343
2015/4/8,183934
2015/4/9,178055
2015/4/10,209595
2015/4/13,234032
2015/4/14,260281
2015/4/15,195997
2015/4/16,194950
2015/4/17,192200
2015/4/20,214090
2015/4/21,203054
2015/4/22,215820
2015/4/23,195668
2015/4/24,221320
2015/4/27,231937
2015/4/28,215982
2015/4/29,195431
2015/4/30,179820
2015/5/4,214398
2015/5/5,197808
2015/5/6,183163
2015/5/7,174730
2015/5/8,183145
2015/5/11,184903
2015/5/12,180792
2015/5/13,173332
2015/5/14,174439
2015/5/15,176580
2015/5/18,184417
2015/5/19,174346
2015/5/20,162764
2015/5/21,183195
2015/5/22,183222
2015/5/25,201964
2015/5/26,189477
2015/5/27,165458
2015/5/28,163706
2015/5/29,169348
2015/6/1,185992
2015/6/2,142850
2015/6/3,156610
2015/6/4,152931
2015/6/5,166128
2015/6/8,165037
2015/6/9,158114
2015/6/10,150362
2015/6/11,151660
2015/6/12,159298
2015/6/15,161136
2015/6/16,135095
2015/6/17,131557
2015/6/18,150026
2015/6/19,160001
2015/6/23,171239
2015/6/24,158099
2015/6/25,143495
2015/6/26,156884
2015/6/29,156276
2015/6/30,148992
2015/7/1,149950
2015/7/2,143166
2015/7/3,163419
2015/7/6,153885
2015/7/7,151826
2015/7/8,147312
2015/7/9,190787
2015/7/10,210881
2015/7/13,211102
2015/7/14,173772
2015/7/15,163849
2015/7/16,163396
2015/7/17,169526
2015/7/20,226740
2015/7/21,183709
2015/7/22,157794
2015/7/23,151710
2015/7/24,170188
2015/7/27,212010
2015/7/28,194032
2015/7/29,200880
2015/7/30,176986
2015/7/31,174451
2015/8/3,234311
2015/8/4,186502
2015/8/5,164309
2015/8/6,163070
2015/8/7,158422
2015/8/10,152705
2015/8/11,171446
2015/8/12,167992
2015/8/13,172000
2015/8/14,171740
2015/8/17,172362
2015/8/18,155475
2015/8/19,147878
2015/8/20,144840
2015/8/21,155663
2015/8/24,138877
2015/8/25,143503
2015/8/26,150550
2015/8/27,145240
2015/8/28,153772
2015/8/31,162082
2015/9/1,163823
2015/9/2,153057
2015/9/6,172186
2015/9/7,167238
2015/9/8,163770
2015/9/9,182300
2015/9/10,162097
2015/9/11,166654
2015/9/14,182898
2015/9/15,157542
2015/9/16,168927
2015/9/17,167049
2015/9/18,175529
2015/9/21,183064
2015/9/22,165539
2015/9/23,170710
2015/9/24,171937
2015/9/25,180363
2015/9/28,187520
2015/9/29,171827
2015/9/30,139820
2015/10/8,189050
2015/10/9,180260
2015/10/10,161143
2015/10/12,206001
2015/10/13,162030
2015/10/14,153576
2015/10/15,158133
2015/10/16,171211
2015/10/19,191980
2015/10/20,176155
2015/10/21,166983
2015/10/22,162340
2015/10/23,174960
2015/10/26,196895
2015/10/27,177220
2015/10/28,168880
2015/10/29,151100
2015/10/30,153728
2015/11/2,188170
2015/11/3,173270
2015/11/4,153245
2015/11/5,153001
2015/11/6,158520
2015/11/9,157196
2015/11/10,148966
2015/11/11,143050
2015/11/12,136043
2015/11/13,145715
2015/11/16,160522
2015/11/17,147181
2015/11/18,132757
2015/11/19,134900
2015/11/20,141837
2015/11/23,141537
2015/11/24,131000
2015/11/25,155722
2015/11/26,159818
2015/11/27,146302
2015/11/30,154461
2015/12/1,144490
2015/12/2,139533
2015/12/3,144537
2015/12/4,151287
2015/12/7,163069
2015/12/8,138010
2015/12/9,129610
2015/12/10,127447
2015/12/11,142610
2015/12/14,165170
2015/12/15,179850
2015/12/16,159629
2015/12/17,167420
2015/12/18,171660
2015/12/21,195728
2015/12/22,146667
2015/12/23,135271
2015/12/24,137545
2015/12/25,159975
2015/12/28,191540
2015/12/29,182630
2015/12/30,160746
2015/12/31,145620
2016/1/4,192232
2016/1/5,142809
2016/1/6,131586
2016/1/7,125686
2016/1/8,140051
2016/1/11,137972
2016/1/12,122130
2016/1/13,119773
2016/1/14,124613
2016/1/15,137846
2016/1/18,142249
2016/1/19,114130
2016/1/20,100219
2016/1/21,86028
2016/1/22,82595
2016/1/25,86820
2016/1/26,70600
2016/1/27,66163
2016/1/28,49855
2016/1/29,44660
2016/2/14,1970
2016/2/15,5480
2016/2/16,27166
2016/2/17,47836
2016/2/18,56474
2016/2/19,53626
